team,year,link
Houston Cougars,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=288&stats_player_seq=-100
Houston Cougars,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=288&stats_player_seq=-100
Houston Cougars,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=288&stats_player_seq=-100
Houston Cougars,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=288&stats_player_seq=-100
Idaho Vandals,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=295&stats_player_seq=-100
Idaho Vandals,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=295&stats_player_seq=-100
Idaho Vandals,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=295&stats_player_seq=-100
Idaho Vandals,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=295&stats_player_seq=-100
Illinois Fighting Illini,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=301&stats_player_seq=-100
Illinois Fighting Illini,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=301&stats_player_seq=-100
Illinois Fighting Illini,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=301&stats_player_seq=-100
Illinois Fighting Illini,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=301&stats_player_seq=-100
Indiana Hoosiers,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=306&stats_player_seq=-100
Indiana Hoosiers,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=306&stats_player_seq=-100
Indiana Hoosiers,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=306&stats_player_seq=-100
Indiana Hoosiers,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=306&stats_player_seq=-100
Iowa Hawkeyes,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=312&stats_player_seq=-100
Iowa Hawkeyes,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=312&stats_player_seq=-100
Iowa Hawkeyes,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=312&stats_player_seq=-100
Iowa Hawkeyes,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=312&stats_player_seq=-100
Iowa St. Cyclones,2014-15,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11980&org_id=311&stats_player_seq=-100
Iowa St. Cyclones,2015-16,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12240&org_id=311&stats_player_seq=-100
Iowa St. Cyclones,2013-14,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=11520&org_id=311&stats_player_seq=-100
Iowa St. Cyclones,2016-17,http://stats.ncaa.org/player/game_by_game?game_sport_year_ctl_id=12424&org_id=311&stats_player_seq=-100
