team,link,txt,key,year
North Carolina  Tar Heels,http://stats.ncaa.org/people/33424?sport_code=MFB,Larry Fedora,people,2014
North Carolina  Tar Heels,http://stats.ncaa.org/team/457/roster/11520,Roster,roster,2014
North Carolina  Tar Heels,http://stats.ncaa.org/team/457/stats/11520,Team Statistics,stats,2014
North Texas Mean Green,http://stats.ncaa.org/teams/history/MFB/497,Team History,history,2014
North Texas Mean Green,http://stats.ncaa.org/people/750?sport_code=MFB,Dan McCarney,people,2014
North Texas Mean Green,http://stats.ncaa.org/team/497/roster/11520,Roster,roster,2014
North Texas Mean Green,http://stats.ncaa.org/team/497/stats/11520,Team Statistics,stats,2014
Northwestern Wildcats,http://stats.ncaa.org/teams/history/MFB/509,Team History,history,2014
Northwestern Wildcats,http://stats.ncaa.org/people/29792?sport_code=MFB,Pat Fitzgerald,people,2014
Northwestern Wildcats,http://stats.ncaa.org/team/509/roster/11520,Roster,roster,2014
Northwestern Wildcats,http://stats.ncaa.org/team/509/stats/11520,Team Statistics,stats,2014
Notre Dame Fighting Irish,http://stats.ncaa.org/teams/history/MFB/513,Team History,history,2014
Notre Dame Fighting Irish,http://stats.ncaa.org/people/434?sport_code=MFB,Brian Kelly,people,2014
Notre Dame Fighting Irish,http://stats.ncaa.org/team/513/roster/11520,Roster,roster,2014
Notre Dame Fighting Irish,http://stats.ncaa.org/team/513/stats/11520,Team Statistics,stats,2014
Ohio Bobcats,http://stats.ncaa.org/teams/history/MFB/519,Team History,history,2014
Ohio Bobcats,http://stats.ncaa.org/people/1208?sport_code=MFB,Frank Solich,people,2014
Ohio Bobcats,http://stats.ncaa.org/team/519/roster/11520,Roster,roster,2014
Ohio Bobcats,http://stats.ncaa.org/team/519/stats/11520,Team Statistics,stats,2014
Ohio St. Buckeyes,http://stats.ncaa.org/teams/history/MFB/518,Team History,history,2014
Ohio St. Buckeyes,http://stats.ncaa.org/people/3864?sport_code=MFB,Urban Meyer,people,2014
Ohio St. Buckeyes,http://stats.ncaa.org/team/518/roster/11520,Roster,roster,2014
Ohio St. Buckeyes,http://stats.ncaa.org/team/518/stats/11520,Team Statistics,stats,2014
Oklahoma  Sooners,http://stats.ncaa.org/teams/history/MFB/522,Team History,history,2014
Oklahoma  Sooners,http://stats.ncaa.org/people/358?sport_code=MFB,Bob Stoops,people,2014
Oklahoma  Sooners,http://stats.ncaa.org/team/522/roster/11520,Roster,roster,2014
