shortName,longName
@ Vanderbilt ,Vanderbilt Commodores
 Kentucky  ,Kentucky  Wildcats
 New Mexico St. ,New Mexico St. Aggies
Florida  ,Florida  Gators
 Wagner ,Wagner Seahawks
 Bethune-Cookman ,Bethune-Cookman Wildcats
FIU ,FIU Panthers
FIU ,FIU Panthers
 Howard ,Howard Bison
 Abilene Christian ,Abilene Christian Wildcats
 Sacramento St. ,Sacramento St. Hornets
@ Nebraska  ,"Nebraska  Cornhuskers, Huskers"
 Southern Utah ,Southern Utah Thunderbirds
 Saint Francis (PA) ,Saint Francis (PA) The Red Flash
 Savannah St. ,Savannah St. Tigers
Ga. Southern ,Ga. Southern Eagles
Fresno St. ,Fresno St. Bulldogs
 The Citadel ,The Citadel Bulldogs
 Savannah St. ,Savannah St. Tigers
Georgia  ,Georgia  Bulldogs
 Southern U. ,Southern U. Jaguars
" Nebraska  @ Jacksonville, Fla.","Nebraska  Cornhuskers, Huskers"
 Nicholls St. ,Nicholls St. Colonels
 South Ala. ,South Ala. Jaguars
 Liberty  ,Liberty  Flames
@ Texas St. ,Texas St. Bobcats
 Jacksonville St. ,Jacksonville St. Gamecocks
Georgia St. ,Georgia St. Panthers
@ Vanderbilt ,Vanderbilt Commodores
 Mercer ,Mercer Bears
 Alcorn ,Alcorn Braves
 Wofford ,Wofford Terriers
Georgia Tech ,Georgia Tech Yellow Jackets
 Abilene Christian ,Abilene Christian Wildcats
 UC Davis ,UC Davis Aggies
@ Ohio St. ,Ohio St. Buckeyes
Hawaii  ,Hawaii  Rainbow Warriors
 UNI ,UNI Panthers
 Tennessee Tech ,Tennessee Tech Golden Eagles
 Grambling ,Grambling Tigers
 Southern U. ,Southern U. Jaguars
 Tulane ,Tulane Green Wave
Idaho  ,Idaho  Vandals
Houston  ,Houston  Cougars
 Montana St. ,Montana St. Bobcats
 Michigan St. ,Michigan St. Spartans
@ Iowa  ,Iowa  Hawkeyes
@ Northwestern ,Northwestern Wildcats
@ Rutgers ,Rutgers Scarlet Knights
 Minnesota  ,Minnesota  Golden Gophers
@ Rutgers ,Rutgers Scarlet Knights
 Maryland  ,"Maryland  Terrapins, Terps"
 Indiana St. ,Indiana St. Sycamores
Indiana  ,Indiana  Hoosiers
 Penn St. ,Penn St. Nittany Lions
 Southern Ill. ,Southern Ill. Salukis
 Murray St. ,Murray St. Racers
 Youngstown St. ,Youngstown St. Penguins
Iowa  ,Iowa  Hawkeyes
