Year,Team,GP,G,PuntRet,PuntRetTDs,PuntRetYds,OffenseDefense
2014-15,Arizona St.,0,13,15,2,196,Defensive
2015-16,Arizona St.,13,13,27,nan,189,Offense
2015-16,Arizona St.,0,13,22,1,267,Defensive
2016-17,Arizona St.,12,12,23,1,236,Offense
2016-17,Arizona St.,0,12,19,nan,65,Defensive
2017-18,Arizona St.,12,12,19,1,115,Offense
2017-18,Arizona St.,0,12,27,nan,162,Defensive
2013-14,Boise St.,13,13,23,nan,361,Offense
2013-14,Boise St.,0,13,13,1,41,Defensive
2014-15,Boise St.,14,14,29,1,286,Offense
2014-15,Boise St.,0,14,18,nan,163,Defensive
2015-16,Boise St.,13,13,32,nan,170,Offense
2015-16,Boise St.,0,13,12,1,137,Defensive
2016-17,Boise St.,13,13,24,nan,159,Offense
2016-17,Boise St.,0,13,16,1,148,Defensive
2017-18,Boise St.,13,13,27,2,313,Offense
2017-18,Boise St.,0,13,15,nan,49,Defensive
2013-14,Boise St.,13,13,23,nan,361,Offense
2013-14,Boise St.,0,13,13,1,41,Defensive
2014-15,Boise St.,14,14,29,1,286,Offense
2014-15,Boise St.,0,14,18,nan,163,Defensive
2015-16,Boise St.,13,13,32,nan,170,Offense
2015-16,Boise St.,0,13,12,1,137,Defensive
2016-17,Boise St.,13,13,24,nan,159,Offense
2016-17,Boise St.,0,13,16,1,148,Defensive
2017-18,Boise St.,13,13,27,2,313,Offense
2017-18,Boise St.,0,13,15,nan,49,Defensive
2013-14,Baylor,13,13,28,2,238,Offense
2013-14,Baylor,0,13,12,nan,202,Defensive
2014-15,Baylor,13,13,20,nan,93,Offense
2014-15,Baylor,0,13,11,nan,56,Defensive
2015-16,Baylor,13,13,15,nan,64,Offense
2015-16,Baylor,0,13,8,nan,28,Defensive
2016-17,Baylor,13,13,23,nan,223,Offense
2016-17,Baylor,0,13,8,nan,17,Defensive
2017-18,Baylor,12,12,7,nan,60,Offense
2017-18,Baylor,0,12,20,nan,59,Defensive
2013-14,Baylor,13,13,28,2,238,Offense
2013-14,Baylor,0,13,12,nan,202,Defensive
2014-15,Baylor,13,13,20,nan,93,Offense
2014-15,Baylor,0,13,11,nan,56,Defensive
2015-16,Baylor,13,13,15,nan,64,Offense
2015-16,Baylor,0,13,8,nan,28,Defensive
2016-17,Baylor,13,13,23,nan,223,Offense
2016-17,Baylor,0,13,8,nan,17,Defensive
2017-18,Baylor,12,12,7,nan,60,Offense
2017-18,Baylor,0,12,20,nan,59,Defensive
2013-14,Baylor,13,13,28,2,238,Offense
2013-14,Baylor,0,13,12,nan,202,Defensive
2014-15,Baylor,13,13,20,nan,93,Offense
2014-15,Baylor,0,13,11,nan,56,Defensive
2015-16,Baylor,13,13,15,nan,64,Offense
2015-16,Baylor,0,13,8,nan,28,Defensive
2016-17,Baylor,13,13,23,nan,223,Offense
2016-17,Baylor,0,13,8,nan,17,Defensive
2017-18,Baylor,12,12,7,nan,60,Offense
2017-18,Baylor,0,12,20,nan,59,Defensive
2013-14,Ball St.,13,13,10,nan,84,Offense
2013-14,Ball St.,0,13,13,nan,119,Defensive
2014-15,Ball St.,12,12,9,nan,60,Offense
2014-15,Ball St.,0,12,14,nan,114,Defensive
2015-16,Ball St.,12,12,14,nan,127,Offense
2015-16,Ball St.,0,12,13,nan,136,Defensive
2016-17,Ball St.,12,12,18,1,94,Offense
2016-17,Ball St.,0,12,16,1,129,Defensive
2017-18,Ball St.,12,12,10,nan,87,Offense
2017-18,Ball St.,0,12,23,3,284,Defensive
2013-14,Ball St.,13,13,10,nan,84,Offense
2013-14,Ball St.,0,13,13,nan,119,Defensive
2014-15,Ball St.,12,12,9,nan,60,Offense
2014-15,Ball St.,0,12,14,nan,114,Defensive
2015-16,Ball St.,12,12,14,nan,127,Offense
2015-16,Ball St.,0,12,13,nan,136,Defensive
2016-17,Ball St.,12,12,18,1,94,Offense
2016-17,Ball St.,0,12,16,1,129,Defensive
2017-18,Ball St.,12,12,10,nan,87,Offense
2017-18,Ball St.,0,12,23,3,284,Defensive
2013-14,BYU,13,13,36,1,335,Offense
2013-14,BYU,0,13,28,nan,218,Defensive
2014-15,BYU,13,13,30,nan,224,Offense
2014-15,BYU,0,13,24,nan,224,Defensive
2015-16,BYU,13,13,25,nan,217,Offense
2015-16,BYU,0,13,21,1,260,Defensive
2016-17,BYU,13,13,24,nan,204,Offense
2016-17,BYU,0,13,17,nan,43,Defensive
2017-18,BYU,13,13,24,nan,118,Offense
2017-18,BYU,0,13,18,nan,64,Defensive
2013-14,BYU,13,13,36,1,335,Offense
2013-14,BYU,0,13,28,nan,218,Defensive
2014-15,BYU,13,13,30,nan,224,Offense
2014-15,BYU,0,13,24,nan,224,Defensive
2015-16,BYU,13,13,25,nan,217,Offense
2015-16,BYU,0,13,21,1,260,Defensive
