Year,Team,GP,G,RZScores,RZPts,RZRushTD,RZPassTD,RZFGMade,RZEndFGA,RZEndFumble,RZEndINT,RZEndDowns,RZEndHalf,RZEndGame,OffenseDefense
2014-15,Arkansas,0,13,23,150,10,10,3,6,nan,2,1,1,nan,Defensive
2015-16,Arkansas,13,13,49,314,25,16,8,4,nan,1,3,2,nan,Offense
2015-16,Arkansas,0,13,46,270,22,11,13,4,1,1,1,nan,nan,Defensive
2016-17,Arkansas,13,13,46,276,14,21,11,1,2,5,4,nan,nan,Offense
2016-17,Arkansas,0,13,41,262,28,7,6,3,3,nan,1,nan,nan,Defensive
2017-18,Arkansas,12,12,35,224,21,9,5,2,nan,1,nan,2,nan,Offense
2017-18,Arkansas,0,12,48,279,21,13,14,1,1,1,1,nan,nan,Defensive
2013-14,Arkansas,12,12,30,181,11,12,7,1,1,1,4,1,nan,Offense
2013-14,Arkansas,0,12,37,226,14,15,8,4,3,nan,1,nan,nan,Defensive
2014-15,Arkansas,13,13,44,272,24,12,8,3,2,3,2,2,nan,Offense
2014-15,Arkansas,0,13,23,150,10,10,3,6,nan,2,1,1,nan,Defensive
2015-16,Arkansas,13,13,49,314,25,16,8,4,nan,1,3,2,nan,Offense
2015-16,Arkansas,0,13,46,270,22,11,13,4,1,1,1,nan,nan,Defensive
2016-17,Arkansas,13,13,46,276,14,21,11,1,2,5,4,nan,nan,Offense
2016-17,Arkansas,0,13,41,262,28,7,6,3,3,nan,1,nan,nan,Defensive
2017-18,Arkansas,12,12,35,224,21,9,5,2,nan,1,nan,2,nan,Offense
2017-18,Arkansas,0,12,48,279,21,13,14,1,1,1,1,nan,nan,Defensive
2013-14,Arkansas,12,12,30,181,11,12,7,1,1,1,4,1,nan,Offense
2013-14,Arkansas,0,12,37,226,14,15,8,4,3,nan,1,nan,nan,Defensive
2014-15,Arkansas,13,13,44,272,24,12,8,3,2,3,2,2,nan,Offense
2014-15,Arkansas,0,13,23,150,10,10,3,6,nan,2,1,1,nan,Defensive
2015-16,Arkansas,13,13,49,314,25,16,8,4,nan,1,3,2,nan,Offense
2015-16,Arkansas,0,13,46,270,22,11,13,4,1,1,1,nan,nan,Defensive
2016-17,Arkansas,13,13,46,276,14,21,11,1,2,5,4,nan,nan,Offense
2016-17,Arkansas,0,13,41,262,28,7,6,3,3,nan,1,nan,nan,Defensive
2017-18,Arkansas,12,12,35,224,21,9,5,2,nan,1,nan,2,nan,Offense
2017-18,Arkansas,0,12,48,279,21,13,14,1,1,1,1,nan,nan,Defensive
2013-14,Arizona,13,13,46,284,27,10,9,4,1,nan,5,nan,nan,Offense
2013-14,Arizona,0,13,34,202,16,10,8,1,nan,2,2,nan,nan,Defensive
2014-15,Arizona,14,14,48,274,20,13,15,4,3,2,1,2,nan,Offense
2014-15,Arizona,0,14,47,268,13,19,15,3,1,nan,2,nan,nan,Defensive
2015-16,Arizona,13,13,54,324,21,20,13,2,nan,1,6,2,nan,Offense
2015-16,Arizona,0,13,54,328,26,16,12,2,nan,nan,2,nan,nan,Defensive
2016-17,Arizona,12,12,31,185,18,5,8,3,2,nan,4,nan,nan,Offense
2016-17,Arizona,0,12,49,312,20,22,7,1,2,nan,2,2,nan,Defensive
2017-18,Arizona,12,12,46,285,30,7,9,2,2,nan,1,1,nan,Offense
2017-18,Arizona,0,12,46,301,26,15,5,2,nan,6,3,4,nan,Defensive
2013-14,Arizona,13,13,46,284,27,10,9,4,1,nan,5,nan,nan,Offense
2013-14,Arizona,0,13,34,202,16,10,8,1,nan,2,2,nan,nan,Defensive
2014-15,Arizona,14,14,48,274,20,13,15,4,3,2,1,2,nan,Offense
2014-15,Arizona,0,14,47,268,13,19,15,3,1,nan,2,nan,nan,Defensive
2015-16,Arizona,13,13,54,324,21,20,13,2,nan,1,6,2,nan,Offense
2015-16,Arizona,0,13,54,328,26,16,12,2,nan,nan,2,nan,nan,Defensive
2016-17,Arizona,12,12,31,185,18,5,8,3,2,nan,4,nan,nan,Offense
2016-17,Arizona,0,12,49,312,20,22,7,1,2,nan,2,2,nan,Defensive
2017-18,Arizona,12,12,46,285,30,7,9,2,2,nan,1,1,nan,Offense
2017-18,Arizona,0,12,46,301,26,15,5,2,nan,6,3,4,nan,Defensive
2013-14,Arizona,13,13,46,284,27,10,9,4,1,nan,5,nan,nan,Offense
2013-14,Arizona,0,13,34,202,16,10,8,1,nan,2,2,nan,nan,Defensive
2014-15,Arizona,14,14,48,274,20,13,15,4,3,2,1,2,nan,Offense
2014-15,Arizona,0,14,47,268,13,19,15,3,1,nan,2,nan,nan,Defensive
2015-16,Arizona,13,13,54,324,21,20,13,2,nan,1,6,2,nan,Offense
2015-16,Arizona,0,13,54,328,26,16,12,2,nan,nan,2,nan,nan,Defensive
2016-17,Arizona,12,12,31,185,18,5,8,3,2,nan,4,nan,nan,Offense
2016-17,Arizona,0,12,49,312,20,22,7,1,2,nan,2,2,nan,Defensive
2017-18,Arizona,12,12,46,285,30,7,9,2,2,nan,1,1,nan,Offense
