Year,Team,GP,G,FGM,FGA,FGBlocksAllowed,FGM1-19,FGA1-19,FGM20-29,FGA20-29,FGM30-39,FGA30-39,FGM40-49,FGA40-49,FGM50-59,FGA50-59,FGM60+,FGA60+,LongFGM,OffenseDefense
2016-17,Fla. Atlantic,0,12,12,17,3,1,1,3,5,6,7,2,3,0,1,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,15,19,1,nan,nan,7,7,3,4,4,5,1,3,nan,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,12,19,1,nan,nan,7,11,2,4,3,4,nan,nan,nan,nan,nan,Defensive
2013-14,Fla. Atlantic,12,12,11,17,1,nan,nan,5,5,2,5,4,7,nan,nan,nan,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,15,16,nan,nan,nan,3,3,5,5,6,7,1,1,nan,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,14,20,1,1,1,4,5,5,7,4,7,nan,nan,nan,nan,nan,Offense
2014-15,Fla. Atlantic,0,12,14,16,nan,2,2,6,7,1,2,3,3,2,2,nan,nan,nan,Defensive
2015-16,Fla. Atlantic,12,12,18,27,nan,nan,nan,11,12,2,4,5,10,0,1,nan,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,12,20,nan,1,1,3,5,4,9,4,5,nan,nan,nan,nan,nan,Defensive
2016-17,Fla. Atlantic,12,12,10,14,nan,1,1,2,3,3,5,3,3,1,2,nan,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,12,17,3,1,1,3,5,6,7,2,3,0,1,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,15,19,1,nan,nan,7,7,3,4,4,5,1,3,nan,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,12,19,1,nan,nan,7,11,2,4,3,4,nan,nan,nan,nan,nan,Defensive
2013-14,Fla. Atlantic,12,12,11,17,1,nan,nan,5,5,2,5,4,7,nan,nan,nan,nan,nan,Offense
2013-14,Fla. Atlantic,0,12,15,16,nan,nan,nan,3,3,5,5,6,7,1,1,nan,nan,nan,Defensive
2014-15,Fla. Atlantic,12,12,14,20,1,1,1,4,5,5,7,4,7,nan,nan,nan,nan,nan,Offense
2014-15,Fla. Atlantic,0,12,14,16,nan,2,2,6,7,1,2,3,3,2,2,nan,nan,nan,Defensive
2015-16,Fla. Atlantic,12,12,18,27,nan,nan,nan,11,12,2,4,5,10,0,1,nan,nan,nan,Offense
2015-16,Fla. Atlantic,0,12,12,20,nan,1,1,3,5,4,9,4,5,nan,nan,nan,nan,nan,Defensive
2016-17,Fla. Atlantic,12,12,10,14,nan,1,1,2,3,3,5,3,3,1,2,nan,nan,nan,Offense
2016-17,Fla. Atlantic,0,12,12,17,3,1,1,3,5,6,7,2,3,0,1,nan,nan,nan,Defensive
2017-18,Fla. Atlantic,13,13,15,19,1,nan,nan,7,7,3,4,4,5,1,3,nan,nan,nan,Offense
2017-18,Fla. Atlantic,0,13,12,19,1,nan,nan,7,11,2,4,3,4,nan,nan,nan,nan,nan,Defensive
2013-14,FIU,12,12,9,14,nan,nan,nan,2,2,4,5,2,6,1,1,nan,nan,nan,Offense
2013-14,FIU,0,12,15,23,2,nan,nan,7,8,7,9,1,6,nan,nan,nan,nan,nan,Defensive
2014-15,FIU,12,12,15,21,1,nan,nan,7,8,4,7,4,6,nan,nan,nan,nan,nan,Offense
2014-15,FIU,0,12,12,17,nan,nan,nan,4,4,5,6,3,6,0,1,nan,nan,nan,Defensive
2015-16,FIU,12,12,10,14,1,1,1,2,2,5,7,2,3,0,1,nan,nan,nan,Offense
2015-16,FIU,0,12,10,17,2,0,1,4,4,3,3,2,8,1,1,nan,nan,nan,Defensive
2016-17,FIU,12,12,12,16,nan,nan,nan,7,7,3,5,1,3,1,1,nan,nan,nan,Offense
2016-17,FIU,0,12,10,15,1,nan,nan,6,8,2,3,1,3,1,1,nan,nan,nan,Defensive
2017-18,FIU,12,12,14,16,nan,nan,nan,6,6,6,6,2,3,0,1,nan,nan,nan,Offense
2017-18,FIU,0,12,13,20,1,1,1,2,3,6,9,4,6,0,1,nan,nan,nan,Defensive
2013-14,FIU,12,12,9,14,nan,nan,nan,2,2,4,5,2,6,1,1,nan,nan,nan,Offense
2013-14,FIU,0,12,15,23,2,nan,nan,7,8,7,9,1,6,nan,nan,nan,nan,nan,Defensive
2014-15,FIU,12,12,15,21,1,nan,nan,7,8,4,7,4,6,nan,nan,nan,nan,nan,Offense
2014-15,FIU,0,12,12,17,nan,nan,nan,4,4,5,6,3,6,0,1,nan,nan,nan,Defensive
2015-16,FIU,12,12,10,14,1,1,1,2,2,5,7,2,3,0,1,nan,nan,nan,Offense
2015-16,FIU,0,12,10,17,2,0,1,4,4,3,3,2,8,1,1,nan,nan,nan,Defensive
2016-17,FIU,12,12,12,16,nan,nan,nan,7,7,3,5,1,3,1,1,nan,nan,nan,Offense
2016-17,FIU,0,12,10,15,1,nan,nan,6,8,2,3,1,3,1,1,nan,nan,nan,Defensive
2017-18,FIU,12,12,14,16,nan,nan,nan,6,6,6,6,2,3,0,1,nan,nan,nan,Offense
2017-18,FIU,0,12,13,20,1,1,1,2,3,6,9,4,6,0,1,nan,nan,nan,Defensive
2013-14,Hawaii,12,12,7,13,nan,nan,nan,2,4,3,4,2,4,0,1,nan,nan,nan,Offense
2013-14,Hawaii,0,12,17,19,nan,1,1,3,4,6,7,4,4,3,3,nan,nan,nan,Defensive
2014-15,Hawaii,13,13,18,23,1,nan,nan,5,6,10,13,3,4,nan,nan,nan,nan,nan,Offense
2014-15,Hawaii,0,13,7,15,3,nan,nan,4,7,2,4,1,3,0,1,nan,nan,nan,Defensive
2015-16,Hawaii,13,13,8,11,nan,nan,nan,2,3,1,1,4,5,1,2,nan,nan,nan,Offense
2015-16,Hawaii,0,13,17,18,nan,nan,nan,6,6,6,6,5,5,0,1,nan,nan,nan,Defensive
2016-17,Hawaii,14,14,13,13,nan,nan,nan,6,6,5,5,1,1,1,1,nan,nan,nan,Offense
2016-17,Hawaii,0,14,19,25,2,1,1,9,9,5,6,4,7,0,2,nan,nan,nan,Defensive
2017-18,Hawaii,12,12,4,9,nan,nan,nan,2,2,2,4,0,2,0,1,nan,nan,nan,Offense
2017-18,Hawaii,0,12,8,18,4,nan,nan,3,6,4,5,0,4,1,3,nan,nan,nan,Defensive
2013-14,Hawaii,12,12,7,13,nan,nan,nan,2,4,3,4,2,4,0,1,nan,nan,nan,Offense
2013-14,Hawaii,0,12,17,19,nan,1,1,3,4,6,7,4,4,3,3,nan,nan,nan,Defensive
2014-15,Hawaii,13,13,18,23,1,nan,nan,5,6,10,13,3,4,nan,nan,nan,nan,nan,Offense
