Year,Team,GP,SackUA,G,SackA,SackYds,Sacks,OffenseDefense
2016-17,Arkansas,0,nan,13,nan,264,nan,Defensive
2017-18,Arkansas,12,nan,12,nan,128,nan,Offense
2017-18,Arkansas,0,nan,12,nan,197,nan,Defensive
2013-14,Arkansas,12,nan,12,nan,211,nan,Offense
2013-14,Arkansas,0,nan,12,nan,75,nan,Defensive
2014-15,Arkansas,13,nan,13,nan,215,nan,Offense
2014-15,Arkansas,0,nan,13,nan,104,nan,Defensive
2015-16,Arkansas,13,nan,13,nan,125,nan,Offense
2015-16,Arkansas,0,nan,13,nan,92,nan,Defensive
2016-17,Arkansas,13,nan,13,nan,186,nan,Offense
2016-17,Arkansas,0,nan,13,nan,264,nan,Defensive
2017-18,Arkansas,12,nan,12,nan,128,nan,Offense
2017-18,Arkansas,0,nan,12,nan,197,nan,Defensive
2013-14,Arizona,13,nan,13,nan,131,nan,Offense
2013-14,Arizona,0,nan,13,nan,76,nan,Defensive
2014-15,Arizona,14,nan,14,nan,223,nan,Offense
2014-15,Arizona,0,nan,14,nan,239,nan,Defensive
2015-16,Arizona,13,nan,13,nan,186,nan,Offense
2015-16,Arizona,0,nan,13,nan,152,nan,Defensive
2016-17,Arizona,12,nan,12,nan,145,nan,Offense
2016-17,Arizona,0,nan,12,nan,192,nan,Defensive
2017-18,Arizona,12,nan,12,nan,173,nan,Offense
2017-18,Arizona,0,nan,12,nan,109,nan,Defensive
2013-14,Arizona,13,nan,13,nan,131,nan,Offense
2013-14,Arizona,0,nan,13,nan,76,nan,Defensive
2014-15,Arizona,14,nan,14,nan,223,nan,Offense
2014-15,Arizona,0,nan,14,nan,239,nan,Defensive
2015-16,Arizona,13,nan,13,nan,186,nan,Offense
2015-16,Arizona,0,nan,13,nan,152,nan,Defensive
2016-17,Arizona,12,nan,12,nan,145,nan,Offense
2016-17,Arizona,0,nan,12,nan,192,nan,Defensive
2017-18,Arizona,12,nan,12,nan,173,nan,Offense
2017-18,Arizona,0,nan,12,nan,109,nan,Defensive
2013-14,Arizona,13,nan,13,nan,131,nan,Offense
2013-14,Arizona,0,nan,13,nan,76,nan,Defensive
2014-15,Arizona,14,nan,14,nan,223,nan,Offense
2014-15,Arizona,0,nan,14,nan,239,nan,Defensive
2015-16,Arizona,13,nan,13,nan,186,nan,Offense
2015-16,Arizona,0,nan,13,nan,152,nan,Defensive
2016-17,Arizona,12,nan,12,nan,145,nan,Offense
2016-17,Arizona,0,nan,12,nan,192,nan,Defensive
2017-18,Arizona,12,nan,12,nan,173,nan,Offense
2017-18,Arizona,0,nan,12,nan,109,nan,Defensive
2013-14,Arizona,13,nan,13,nan,131,nan,Offense
2013-14,Arizona,0,nan,13,nan,76,nan,Defensive
2014-15,Arizona,14,nan,14,nan,223,nan,Offense
2014-15,Arizona,0,nan,14,nan,239,nan,Defensive
2015-16,Arizona,13,nan,13,nan,186,nan,Offense
2015-16,Arizona,0,nan,13,nan,152,nan,Defensive
2016-17,Arizona,12,nan,12,nan,145,nan,Offense
2016-17,Arizona,0,nan,12,nan,192,nan,Defensive
2017-18,Arizona,12,nan,12,nan,173,nan,Offense
2017-18,Arizona,0,nan,12,nan,109,nan,Defensive
2013-14,Arizona St.,14,nan,14,nan,261,nan,Offense
2013-14,Arizona St.,0,nan,14,nan,228,nan,Defensive
2014-15,Arizona St.,13,nan,13,nan,298,nan,Offense
2014-15,Arizona St.,0,nan,13,nan,235,nan,Defensive
2015-16,Arizona St.,13,nan,13,nan,292,nan,Offense
2015-16,Arizona St.,0,nan,13,nan,233,nan,Defensive
2016-17,Arizona St.,12,nan,12,nan,183,nan,Offense
2016-17,Arizona St.,0,nan,12,nan,260,nan,Defensive
2017-18,Arizona St.,12,nan,12,nan,213,nan,Offense
2017-18,Arizona St.,0,nan,12,nan,218,nan,Defensive
2013-14,Arizona St.,14,nan,14,nan,261,nan,Offense
2013-14,Arizona St.,0,nan,14,nan,228,nan,Defensive
2014-15,Arizona St.,13,nan,13,nan,298,nan,Offense
2014-15,Arizona St.,0,nan,13,nan,235,nan,Defensive
2015-16,Arizona St.,13,nan,13,nan,292,nan,Offense
2015-16,Arizona St.,0,nan,13,nan,233,nan,Defensive
2016-17,Arizona St.,12,nan,12,nan,183,nan,Offense
2016-17,Arizona St.,0,nan,12,nan,260,nan,Defensive
2017-18,Arizona St.,12,nan,12,nan,213,nan,Offense
2017-18,Arizona St.,0,nan,12,nan,218,nan,Defensive
2013-14,Boise St.,13,nan,13,nan,180,nan,Offense
2013-14,Boise St.,0,nan,13,nan,138,nan,Defensive
2014-15,Boise St.,14,nan,14,nan,275,nan,Offense
2014-15,Boise St.,0,nan,14,nan,197,nan,Defensive
2015-16,Boise St.,13,nan,13,nan,210,nan,Offense
2015-16,Boise St.,0,nan,13,nan,191,nan,Defensive
2016-17,Boise St.,13,nan,13,nan,168,nan,Offense
2016-17,Boise St.,0,nan,13,nan,123,nan,Defensive
2017-18,Boise St.,13,nan,13,nan,169,nan,Offense
2017-18,Boise St.,0,nan,13,nan,152,nan,Defensive
2013-14,Boise St.,13,nan,13,nan,180,nan,Offense
2013-14,Boise St.,0,nan,13,nan,138,nan,Defensive
2014-15,Boise St.,14,nan,14,nan,275,nan,Offense
2014-15,Boise St.,0,nan,14,nan,197,nan,Defensive
2015-16,Boise St.,13,nan,13,nan,210,nan,Offense
2015-16,Boise St.,0,nan,13,nan,191,nan,Defensive
2016-17,Boise St.,13,nan,13,nan,168,nan,Offense
2016-17,Boise St.,0,nan,13,nan,123,nan,Defensive
2017-18,Boise St.,13,nan,13,nan,169,nan,Offense
2017-18,Boise St.,0,nan,13,nan,152,nan,Defensive
2013-14,Baylor,13,nan,13,nan,197,nan,Offense
2013-14,Baylor,0,nan,13,nan,113,nan,Defensive
2014-15,Baylor,13,nan,13,nan,276,nan,Offense
2014-15,Baylor,0,nan,13,nan,152,nan,Defensive
2015-16,Baylor,13,nan,13,nan,205,nan,Offense
2015-16,Baylor,0,nan,13,nan,86,nan,Defensive
2016-17,Baylor,13,nan,13,nan,201,nan,Offense
2016-17,Baylor,0,nan,13,nan,122,nan,Defensive
2017-18,Baylor,12,nan,12,nan,142,nan,Offense
2017-18,Baylor,0,nan,12,nan,266,nan,Defensive
2013-14,Baylor,13,nan,13,nan,197,nan,Offense
2013-14,Baylor,0,nan,13,nan,113,nan,Defensive
2014-15,Baylor,13,nan,13,nan,276,nan,Offense
2014-15,Baylor,0,nan,13,nan,152,nan,Defensive
2015-16,Baylor,13,nan,13,nan,205,nan,Offense
2015-16,Baylor,0,nan,13,nan,86,nan,Defensive
2016-17,Baylor,13,nan,13,nan,201,nan,Offense
2016-17,Baylor,0,nan,13,nan,122,nan,Defensive
2017-18,Baylor,12,nan,12,nan,142,nan,Offense
2017-18,Baylor,0,nan,12,nan,266,nan,Defensive
2013-14,Baylor,13,nan,13,nan,197,nan,Offense
2013-14,Baylor,0,nan,13,nan,113,nan,Defensive
2014-15,Baylor,13,nan,13,nan,276,nan,Offense
2014-15,Baylor,0,nan,13,nan,152,nan,Defensive
2015-16,Baylor,13,nan,13,nan,205,nan,Offense
2015-16,Baylor,0,nan,13,nan,86,nan,Defensive
2016-17,Baylor,13,nan,13,nan,201,nan,Offense
2016-17,Baylor,0,nan,13,nan,122,nan,Defensive
2017-18,Baylor,12,nan,12,nan,142,nan,Offense
2017-18,Baylor,0,nan,12,nan,266,nan,Defensive
2013-14,Ball St.,13,nan,13,nan,177,nan,Offense
2013-14,Ball St.,0,nan,13,nan,105,nan,Defensive
2014-15,Ball St.,12,nan,12,nan,109,nan,Offense
2014-15,Ball St.,0,nan,12,nan,84,nan,Defensive
2015-16,Ball St.,12,nan,12,nan,98,nan,Offense
2015-16,Ball St.,0,nan,12,nan,78,nan,Defensive
2016-17,Ball St.,12,nan,12,nan,182,nan,Offense
2016-17,Ball St.,0,nan,12,nan,114,nan,Defensive
2017-18,Ball St.,12,nan,12,nan,166,nan,Offense
2017-18,Ball St.,0,nan,12,nan,190,nan,Defensive
2013-14,Ball St.,13,nan,13,nan,177,nan,Offense
2013-14,Ball St.,0,nan,13,nan,105,nan,Defensive
2014-15,Ball St.,12,nan,12,nan,109,nan,Offense
2014-15,Ball St.,0,nan,12,nan,84,nan,Defensive
2015-16,Ball St.,12,nan,12,nan,98,nan,Offense
2015-16,Ball St.,0,nan,12,nan,78,nan,Defensive
2016-17,Ball St.,12,nan,12,nan,182,nan,Offense
2016-17,Ball St.,0,nan,12,nan,114,nan,Defensive
2017-18,Ball St.,12,nan,12,nan,166,nan,Offense
2017-18,Ball St.,0,nan,12,nan,190,nan,Defensive
2013-14,Ball St.,13,nan,13,nan,177,nan,Offense
2013-14,Ball St.,0,nan,13,nan,105,nan,Defensive
2014-15,Ball St.,12,nan,12,nan,109,nan,Offense
2014-15,Ball St.,0,nan,12,nan,84,nan,Defensive
2015-16,Ball St.,12,nan,12,nan,98,nan,Offense
2015-16,Ball St.,0,nan,12,nan,78,nan,Defensive
2016-17,Ball St.,12,nan,12,nan,182,nan,Offense
2016-17,Ball St.,0,nan,12,nan,114,nan,Defensive
2017-18,Ball St.,12,nan,12,nan,166,nan,Offense
2017-18,Ball St.,0,nan,12,nan,190,nan,Defensive
2013-14,BYU,13,nan,13,nan,173,nan,Offense
2013-14,BYU,0,nan,13,nan,232,nan,Defensive
2014-15,BYU,13,nan,13,nan,159,nan,Offense
2014-15,BYU,0,nan,13,nan,211,nan,Defensive
2015-16,BYU,13,nan,13,nan,239,nan,Offense
2015-16,BYU,0,nan,13,nan,209,nan,Defensive
2016-17,BYU,13,nan,13,nan,185,nan,Offense
2016-17,BYU,0,nan,13,nan,156,nan,Defensive
2017-18,BYU,13,nan,13,nan,106,nan,Offense
2017-18,BYU,0,nan,13,nan,176,nan,Defensive
2013-14,BYU,13,nan,13,nan,173,nan,Offense
2013-14,BYU,0,nan,13,nan,232,nan,Defensive
2014-15,BYU,13,nan,13,nan,159,nan,Offense
2014-15,BYU,0,nan,13,nan,211,nan,Defensive
2015-16,BYU,13,nan,13,nan,239,nan,Offense
2015-16,BYU,0,nan,13,nan,209,nan,Defensive
2016-17,BYU,13,nan,13,nan,185,nan,Offense
2016-17,BYU,0,nan,13,nan,156,nan,Defensive
2017-18,BYU,13,nan,13,nan,106,nan,Offense
2017-18,BYU,0,nan,13,nan,176,nan,Defensive
2013-14,BYU,13,nan,13,nan,173,nan,Offense
2013-14,BYU,0,nan,13,nan,232,nan,Defensive
2014-15,BYU,13,nan,13,nan,159,nan,Offense
2014-15,BYU,0,nan,13,nan,211,nan,Defensive
2015-16,BYU,13,nan,13,nan,239,nan,Offense
2015-16,BYU,0,nan,13,nan,209,nan,Defensive
2016-17,BYU,13,nan,13,nan,185,nan,Offense
2016-17,BYU,0,nan,13,nan,156,nan,Defensive
2017-18,BYU,13,nan,13,nan,106,nan,Offense
2017-18,BYU,0,nan,13,nan,176,nan,Defensive
2013-14,BYU,13,nan,13,nan,173,nan,Offense
2013-14,BYU,0,nan,13,nan,232,nan,Defensive
2014-15,BYU,13,nan,13,nan,159,nan,Offense
2014-15,BYU,0,nan,13,nan,211,nan,Defensive
2015-16,BYU,13,nan,13,nan,239,nan,Offense
2015-16,BYU,0,nan,13,nan,209,nan,Defensive
