Year,Team,GP,G,FumblesRecovered,Int,Blkd,OffenseDefense
2016-17,Ball St.,0,12,9,15,1,Defensive
2017-18,Ball St.,12,12,6,6,1,Offense
2017-18,Ball St.,0,12,7,14,6,Defensive
2013-14,Baylor,13,13,10,19,2,Offense
2013-14,Baylor,0,13,10,6,2,Defensive
2014-15,Baylor,13,13,13,13,1,Offense
2014-15,Baylor,0,13,5,8,3,Defensive
2015-16,Baylor,13,13,12,14,3,Offense
2015-16,Baylor,0,13,13,13,nan,Defensive
2016-17,Baylor,13,13,10,12,nan,Offense
2016-17,Baylor,0,13,12,15,nan,Defensive
2017-18,Baylor,12,12,8,3,2,Offense
2017-18,Baylor,0,12,11,14,1,Defensive
2013-14,Central Mich.,12,12,8,14,nan,Offense
2013-14,Central Mich.,0,12,10,17,3,Defensive
2014-15,Central Mich.,13,13,8,14,2,Offense
2014-15,Central Mich.,0,13,14,13,2,Defensive
2015-16,Central Mich.,13,13,11,7,4,Offense
2015-16,Central Mich.,0,13,5,11,3,Defensive
2016-17,Central Mich.,13,13,5,13,5,Offense
2016-17,Central Mich.,0,13,8,16,3,Defensive
2017-18,Central Mich.,12,12,12,19,2,Offense
2017-18,Central Mich.,0,12,10,13,2,Defensive
2013-14,California,12,12,8,5,nan,Offense
2013-14,California,0,12,13,14,1,Defensive
2014-15,California,12,12,5,12,2,Offense
2014-15,California,0,12,10,10,1,Defensive
2015-16,California,13,13,12,15,3,Offense
2015-16,California,0,13,9,14,1,Defensive
2016-17,California,12,12,7,11,nan,Offense
2016-17,California,0,12,3,12,1,Defensive
2017-18,California,12,12,10,14,nan,Offense
2017-18,California,0,12,8,12,nan,Defensive
2013-14,California,12,12,8,5,nan,Offense
2013-14,California,0,12,13,14,1,Defensive
2014-15,California,12,12,5,12,2,Offense
2014-15,California,0,12,10,10,1,Defensive
2015-16,California,13,13,12,15,3,Offense
2015-16,California,0,13,9,14,1,Defensive
2016-17,California,12,12,7,11,nan,Offense
2016-17,California,0,12,3,12,1,Defensive
2017-18,California,12,12,10,14,nan,Offense
2017-18,California,0,12,8,12,nan,Defensive
