Year,Team,GP,G,SoloTack,AsstTack,STFL,ATFL,TackleYds,Tackles,OffenseDefense
2013-14,Arkansas,0,12,350,520,27,36,168,870,Defensive
2014-15,Arkansas,13,13,426,418,63,36,358,844,Offense
2014-15,Arkansas,0,13,443,520,38,48,209,963,Defensive
2015-16,Arkansas,13,13,453,432,49,40,275,885,Offense
2015-16,Arkansas,0,13,480,468,41,38,195,948,Defensive
2016-17,Arkansas,13,13,416,430,36,46,286,846,Offense
2016-17,Arkansas,0,13,504,458,65,44,404,962,Defensive
2017-18,Arkansas,12,12,427,394,39,18,190,821,Offense
2017-18,Arkansas,0,12,435,374,66,30,295,809,Defensive
2013-14,Arkansas,12,12,415,453,52,30,294,868,Offense
2013-14,Arkansas,0,12,350,520,27,36,168,870,Defensive
2014-15,Arkansas,13,13,426,418,63,36,358,844,Offense
2014-15,Arkansas,0,13,443,520,38,48,209,963,Defensive
2015-16,Arkansas,13,13,453,432,49,40,275,885,Offense
2015-16,Arkansas,0,13,480,468,41,38,195,948,Defensive
2016-17,Arkansas,13,13,416,430,36,46,286,846,Offense
2016-17,Arkansas,0,13,504,458,65,44,404,962,Defensive
2017-18,Arkansas,12,12,427,394,39,18,190,821,Offense
2017-18,Arkansas,0,12,435,374,66,30,295,809,Defensive
2013-14,Arkansas,12,12,415,453,52,30,294,868,Offense
2013-14,Arkansas,0,12,350,520,27,36,168,870,Defensive
2014-15,Arkansas,13,13,426,418,63,36,358,844,Offense
2014-15,Arkansas,0,13,443,520,38,48,209,963,Defensive
2015-16,Arkansas,13,13,453,432,49,40,275,885,Offense
2015-16,Arkansas,0,13,480,468,41,38,195,948,Defensive
2016-17,Arkansas,13,13,416,430,36,46,286,846,Offense
2016-17,Arkansas,0,13,504,458,65,44,404,962,Defensive
2017-18,Arkansas,12,12,427,394,39,18,190,821,Offense
2017-18,Arkansas,0,12,435,374,66,30,295,809,Defensive
2013-14,Arkansas,12,12,415,453,52,30,294,868,Offense
2013-14,Arkansas,0,12,350,520,27,36,168,870,Defensive
2014-15,Arkansas,13,13,426,418,63,36,358,844,Offense
2014-15,Arkansas,0,13,443,520,38,48,209,963,Defensive
2015-16,Arkansas,13,13,453,432,49,40,275,885,Offense
2015-16,Arkansas,0,13,480,468,41,38,195,948,Defensive
2016-17,Arkansas,13,13,416,430,36,46,286,846,Offense
2016-17,Arkansas,0,13,504,458,65,44,404,962,Defensive
2017-18,Arkansas,12,12,427,394,39,18,190,821,Offense
2017-18,Arkansas,0,12,435,374,66,30,295,809,Defensive
2013-14,Arizona,13,13,599,324,63,28,255,923,Offense
2013-14,Arizona,0,13,654,362,51,12,185,1016,Defensive
2014-15,Arizona,14,14,706,356,87,22,356,1062,Offense
2014-15,Arizona,0,14,682,281,71,20,312,963,Defensive
2015-16,Arizona,13,13,699,242,66,18,308,887,Offense
2015-16,Arizona,0,13,614,257,58,38,259,787,Defensive
2016-17,Arizona,12,12,630,180,50,18,237,810,Offense
2016-17,Arizona,0,12,554,145,67,12,311,699,Defensive
2017-18,Arizona,12,12,576,252,54,28,267,828,Offense
2017-18,Arizona,0,12,557,260,49,16,204,817,Defensive
2013-14,Arizona,13,13,599,324,63,28,255,923,Offense
2013-14,Arizona,0,13,654,362,51,12,185,1016,Defensive
2014-15,Arizona,14,14,706,356,87,22,356,1062,Offense
2014-15,Arizona,0,14,682,281,71,20,312,963,Defensive
2015-16,Arizona,13,13,699,242,66,18,308,887,Offense
2015-16,Arizona,0,13,614,257,58,38,259,787,Defensive
2016-17,Arizona,12,12,630,180,50,18,237,810,Offense
2016-17,Arizona,0,12,554,145,67,12,311,699,Defensive
2017-18,Arizona,12,12,576,252,54,28,267,828,Offense
2017-18,Arizona,0,12,557,260,49,16,204,817,Defensive
2013-14,Arizona,13,13,599,324,63,28,255,923,Offense
2013-14,Arizona,0,13,654,362,51,12,185,1016,Defensive
2014-15,Arizona,14,14,706,356,87,22,356,1062,Offense
2014-15,Arizona,0,14,682,281,71,20,312,963,Defensive
2015-16,Arizona,13,13,699,242,66,18,308,887,Offense
2015-16,Arizona,0,13,614,257,58,38,259,787,Defensive
