Date,Opponent,Result,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,Team,OffenseDefense
01/01/2015,Ohio St.,L 35 - 42,1/,,322,3,7,nan,102,Alabama Crimson Tide,Offense
01/01/2015,Ohio St.,L 35 - 42,1/,,465,1,2,nan,23,Alabama Crimson Tide,Defense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,6,390,2,3,nan,35,Alabama Crimson Tide,Offense
09/05/2015,"Wisconsin @ Arlington, Texas",W 35 - 17,1/,4,256,1,4,nan,84,Alabama Crimson Tide,Defense
09/12/2015,Middle Tenn.,W 37 - 10,1/,6,381,2,4,nan,87,Alabama Crimson Tide,Offense
09/12/2015,Middle Tenn.,W 37 - 10,1/,4,231,nan,4,nan,82,Alabama Crimson Tide,Defense
09/19/2015,Ole Miss,L 37 - 43,1/,6,336,1,4,nan,88,Alabama Crimson Tide,Offense
09/19/2015,Ole Miss,L 37 - 43,1/,9,583,5,3,nan,60,Alabama Crimson Tide,Defense
09/26/2015,La.-Monroe,W 34 - 0,1/,7,452,4,1,nan,13,Alabama Crimson Tide,Offense
09/26/2015,La.-Monroe,W 34 - 0,1/,1,62,nan,3,nan,68,Alabama Crimson Tide,Defense
10/03/2015,@ Georgia,W 38 - 10,1/,7,453,3,3,nan,61,Alabama Crimson Tide,Offense
10/03/2015,@ Georgia,W 38 - 10,1/,3,179,nan,4,nan,71,Alabama Crimson Tide,Defense
10/10/2015,Arkansas,W 27 - 14,1/,6,357,3,2,nan,38,Alabama Crimson Tide,Offense
10/10/2015,Arkansas,W 27 - 14,1/,2,113,nan,2,nan,31,Alabama Crimson Tide,Defense
10/17/2015,@ Texas A&M,W 41 - 23,1/,8,511,5,4,nan,61,Alabama Crimson Tide,Offense
10/17/2015,@ Texas A&M,W 41 - 23,1/,6,365,2,3,nan,62,Alabama Crimson Tide,Defense
10/24/2015,Tennessee,W 19 - 14,1/,5,323,4,2,nan,62,Alabama Crimson Tide,Offense
10/24/2015,Tennessee,W 19 - 14,1/,3,195,1,1,nan,31,Alabama Crimson Tide,Defense
11/07/2015,LSU,W 30 - 16,1/,7,448,3,3,nan,55,Alabama Crimson Tide,Offense
11/07/2015,LSU,W 30 - 16,1/,4,238,nan,4,nan,43,Alabama Crimson Tide,Defense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,6,377,2,nan,nan,nan,Alabama Crimson Tide,Offense
11/14/2015,@ Mississippi St.,W 31 - 6,1/,3,192,2,4,nan,57,Alabama Crimson Tide,Defense
11/21/2015,Charleston So.,W 56 - 6,1/,9,576,6,2,nan,21,Alabama Crimson Tide,Offense
11/21/2015,Charleston So.,W 56 - 6,1/,2,75,nan,2,nan,30,Alabama Crimson Tide,Defense
11/28/2015,@ Auburn,W 29 - 13,1/,8,520,7,2,nan,40,Alabama Crimson Tide,Offense
11/28/2015,@ Auburn,W 29 - 13,1/,4,260,2,1,nan,26,Alabama Crimson Tide,Defense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,6,390,4,2,nan,46,Alabama Crimson Tide,Offense
12/05/2015,"Florida @ Atltana, Ga.",W 29 - 15,1/,4,213,1,2,nan,44,Alabama Crimson Tide,Defense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,7,443,5,nan,nan,nan,Alabama Crimson Tide,Offense
12/31/2015,"Michigan St. @ Arlington, Texas",W 38 - 0,1/,1,65,1,1,nan,22,Alabama Crimson Tide,Defense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,7,422,4,5,1/,196/,Alabama Crimson Tide,Offense
01/11/2016,"Clemson @ Glendale, Ariz.",W 45 - 40,1/,7,448,2,3,nan,68,Alabama Crimson Tide,Defense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,,369,nan,2,1/,109,Alabama Crimson Tide,Offense
08/31/2013,"Virginia Tech @ Atlanta, Georgia",W 35 - 10,1/,,189,1,6,nan,96,Alabama Crimson Tide,Defense
