Date,Opponent,Result,SackUA,G,SackA,SackYds,Sacks,Team,OffenseDefense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,nan,1/,nan,54,7.0,Alabama Crimson Tide,Defense
09/05/2015,@ Oklahoma,L 3 - 41,nan,1/,nan,2,1.0,Akron Zips,Offense
09/05/2015,@ Oklahoma,L 3 - 41,nan,1/,nan,7,2.0,Akron Zips,Defense
09/12/2015,Pittsburgh,L 7 - 24,nan,1/,nan,34,5.0,Akron Zips,Offense
09/12/2015,Pittsburgh,L 7 - 24,nan,1/,nan,39,3.0,Akron Zips,Defense
09/19/2015,Savannah St.,W 52 - 9,nan,1/,nan,12,2.0,Akron Zips,Offense
09/19/2015,Savannah St.,W 52 - 9,nan,1/,nan,nan,nan,Akron Zips,Defense
09/26/2015,@ Louisiana,W 35 - 14,nan,1/,nan,16,2.0,Akron Zips,Offense
09/26/2015,@ Louisiana,W 35 - 14,nan,1/,nan,nan,nan,Akron Zips,Defense
10/03/2015,Ohio,L 12 - 14,nan,1/,nan,20,3.0,Akron Zips,Offense
10/03/2015,Ohio,L 12 - 14,nan,1/,nan,15,2.0,Akron Zips,Defense
10/10/2015,@ Eastern Mich.,W 47 - 21,nan,1/,nan,6,1.0,Akron Zips,Offense
10/10/2015,@ Eastern Mich.,W 47 - 21,nan,1/,nan,6,1.0,Akron Zips,Defense
10/17/2015,@ Bowling Green,L 10 - 59,nan,1/,nan,28,3.0,Akron Zips,Offense
10/17/2015,@ Bowling Green,L 10 - 59,nan,1/,nan,9,1.0,Akron Zips,Defense
10/31/2015,Central Mich.,L 6 - 14,nan,1/,nan,25,3.0,Akron Zips,Offense
10/31/2015,Central Mich.,L 6 - 14,nan,1/,nan,25,4.0,Akron Zips,Defense
11/07/2015,@ Massachusetts,W 17 - 13,nan,1/,nan,16,2.0,Akron Zips,Offense
11/07/2015,@ Massachusetts,W 17 - 13,nan,1/,nan,nan,nan,Akron Zips,Defense
11/14/2015,@ Miami (OH),W 37 - 28,nan,1/,nan,28,3.0,Akron Zips,Offense
11/14/2015,@ Miami (OH),W 37 - 28,nan,1/,nan,9,1.0,Akron Zips,Defense
11/21/2015,Buffalo,W 42 - 21,nan,1/,nan,nan,nan,Akron Zips,Offense
