Date,Opponent,Result,G,FumblesRecovered,Int,Blkd,Team,OffenseDefense
10/12/2013,@ Kentucky,W 48 - 7,1/,2,nan,nan,Alabama Crimson Tide,Defense
10/19/2013,Arkansas,W 52 - 0,1/,1,2,1,Alabama Crimson Tide,Offense
10/19/2013,Arkansas,W 52 - 0,1/,nan,nan,nan,Alabama Crimson Tide,Defense
10/26/2013,Tennessee,W 45 - 10,1/,nan,2,nan,Alabama Crimson Tide,Offense
10/26/2013,Tennessee,W 45 - 10,1/,1,nan,nan,Alabama Crimson Tide,Defense
11/09/2013,LSU,W 38 - 17,1/,2,nan,nan,Alabama Crimson Tide,Offense
11/09/2013,LSU,W 38 - 17,1/,nan,nan,nan,Alabama Crimson Tide,Defense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,nan,1,nan,Alabama Crimson Tide,Offense
11/16/2013,@ Mississippi St.,W 20 - 7,1/,2,2,nan,Alabama Crimson Tide,Defense
11/23/2013,Chattanooga,W 49 - 0,1/,1,1,1,Alabama Crimson Tide,Offense
11/23/2013,Chattanooga,W 49 - 0,1/,1,nan,nan,Alabama Crimson Tide,Defense
11/30/2013,@ Auburn,L 28 - 34,1/,1,nan,nan,Alabama Crimson Tide,Offense
11/30/2013,@ Auburn,L 28 - 34,1/,nan,nan,2/,Alabama Crimson Tide,Defense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,nan,1,nan,Alabama Crimson Tide,Offense
01/02/2014,"Oklahoma @ New Orleans, La.",L 31 - 45,1/,2,2,nan,Alabama Crimson Tide,Defense
09/05/2015,@ Oklahoma,L 3 - 41,1/,1,1,nan,Akron Zips,Offense
09/05/2015,@ Oklahoma,L 3 - 41,1/,1,nan,nan,Akron Zips,Defense
09/12/2015,Pittsburgh,L 7 - 24,1/,nan,nan,nan,Akron Zips,Offense
09/12/2015,Pittsburgh,L 7 - 24,1/,1,nan,nan,Akron Zips,Defense
09/19/2015,Savannah St.,W 52 - 9,1/,1,1,nan,Akron Zips,Offense
09/19/2015,Savannah St.,W 52 - 9,1/,nan,2,1,Akron Zips,Defense
09/26/2015,@ Louisiana,W 35 - 14,1/,2,2,nan,Akron Zips,Offense
09/26/2015,@ Louisiana,W 35 - 14,1/,nan,1,nan,Akron Zips,Defense
10/03/2015,Ohio,L 12 - 14,1/,nan,1,nan,Akron Zips,Offense
10/03/2015,Ohio,L 12 - 14,1/,nan,1,nan,Akron Zips,Defense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,2,1,1,Akron Zips,Offense
10/10/2015,@ Eastern Mich.,W 47 - 21,1/,nan,nan,nan,Akron Zips,Defense
10/17/2015,@ Bowling Green,L 10 - 59,1/,nan,nan,nan,Akron Zips,Offense
10/17/2015,@ Bowling Green,L 10 - 59,1/,2,2,nan,Akron Zips,Defense
10/31/2015,Central Mich.,L 6 - 14,1/,nan,1,nan,Akron Zips,Offense
10/31/2015,Central Mich.,L 6 - 14,1/,nan,1,nan,Akron Zips,Defense
11/07/2015,@ Massachusetts,W 17 - 13,1/,nan,2,nan,Akron Zips,Offense
11/07/2015,@ Massachusetts,W 17 - 13,1/,1,2,nan,Akron Zips,Defense
11/14/2015,@ Miami (OH),W 37 - 28,1/,2,2,1,Akron Zips,Offense
11/14/2015,@ Miami (OH),W 37 - 28,1/,nan,2,2/,Akron Zips,Defense
