Year,Team,GP,Punts,G,PuntYds,PuntTBs,LongPunt,OffenseDefense
2015-16,Arizona,13,54,13,2389,6,nan,Offense
2015-16,Arizona,0,68,13,2862,4,nan,Defensive
2016-17,Arizona,12,61,12,2538,2,nan,Offense
2016-17,Arizona,0,48,12,2091,4,nan,Defensive
2017-18,Arizona,12,42,12,1417,1,nan,Offense
2017-18,Arizona,0,51,12,2095,1,nan,Defensive
2013-14,Arizona,13,58,13,2299,4,nan,Offense
2013-14,Arizona,0,69,13,2836,1,nan,Defensive
2014-15,Arizona,14,80,14,3651,10,nan,Offense
2014-15,Arizona,0,85,14,3598,5,nan,Defensive
2015-16,Arizona,13,54,13,2389,6,nan,Offense
2015-16,Arizona,0,68,13,2862,4,nan,Defensive
2016-17,Arizona,12,61,12,2538,2,nan,Offense
2016-17,Arizona,0,48,12,2091,4,nan,Defensive
2017-18,Arizona,12,42,12,1417,1,nan,Offense
2017-18,Arizona,0,51,12,2095,1,nan,Defensive
2013-14,Arizona St.,14,65,14,2428,4,nan,Offense
2013-14,Arizona St.,0,80,14,3365,3,nan,Defensive
2014-15,Arizona St.,13,67,13,2774,6,nan,Offense
2014-15,Arizona St.,0,75,13,2976,7,nan,Defensive
2015-16,Arizona St.,13,77,13,3293,2,nan,Offense
2015-16,Arizona St.,0,85,13,3587,8,nan,Defensive
2016-17,Arizona St.,12,69,12,3026,3,nan,Offense
2016-17,Arizona St.,0,61,12,2399,1,nan,Defensive
2017-18,Arizona St.,12,62,12,2401,1,nan,Offense
2017-18,Arizona St.,0,59,12,2273,1,nan,Defensive
2013-14,Arizona St.,14,65,14,2428,4,nan,Offense
2013-14,Arizona St.,0,80,14,3365,3,nan,Defensive
2014-15,Arizona St.,13,67,13,2774,6,nan,Offense
2014-15,Arizona St.,0,75,13,2976,7,nan,Defensive
2015-16,Arizona St.,13,77,13,3293,2,nan,Offense
2015-16,Arizona St.,0,85,13,3587,8,nan,Defensive
2016-17,Arizona St.,12,69,12,3026,3,nan,Offense
2016-17,Arizona St.,0,61,12,2399,1,nan,Defensive
2017-18,Arizona St.,12,62,12,2401,1,nan,Offense
2017-18,Arizona St.,0,59,12,2273,1,nan,Defensive
2013-14,Boise St.,13,53,13,2141,nan,nan,Offense
2013-14,Boise St.,0,72,13,2872,9,nan,Defensive
2014-15,Boise St.,14,68,14,2845,5,nan,Offense
2014-15,Boise St.,0,84,14,3672,6,nan,Defensive
2015-16,Boise St.,13,54,13,2232,5,nan,Offense
2015-16,Boise St.,0,89,13,3626,5,nan,Defensive
2016-17,Boise St.,13,51,13,2248,3,nan,Offense
2016-17,Boise St.,0,72,13,2966,nan,nan,Defensive
2017-18,Boise St.,13,58,13,2334,3,nan,Offense
2017-18,Boise St.,0,75,13,3016,5,nan,Defensive
2013-14,Boise St.,13,53,13,2141,nan,nan,Offense
2013-14,Boise St.,0,72,13,2872,9,nan,Defensive
2014-15,Boise St.,14,68,14,2845,5,nan,Offense
2014-15,Boise St.,0,84,14,3672,6,nan,Defensive
2015-16,Boise St.,13,54,13,2232,5,nan,Offense
2015-16,Boise St.,0,89,13,3626,5,nan,Defensive
2016-17,Boise St.,13,51,13,2248,3,nan,Offense
2016-17,Boise St.,0,72,13,2966,nan,nan,Defensive
2017-18,Boise St.,13,58,13,2334,3,nan,Offense
2017-18,Boise St.,0,75,13,3016,5,nan,Defensive
2013-14,Baylor,13,53,13,2379,7,nan,Offense
2013-14,Baylor,0,96,13,4214,14,nan,Defensive
2014-15,Baylor,13,47,13,2040,2,nan,Offense
2014-15,Baylor,0,82,13,3350,3,nan,Defensive
2015-16,Baylor,13,42,13,1684,nan,nan,Offense
2015-16,Baylor,0,83,13,3257,2,nan,Defensive
2016-17,Baylor,13,57,13,2359,4,nan,Offense
2016-17,Baylor,0,81,13,3224,8,nan,Defensive
2017-18,Baylor,12,60,12,2522,1,nan,Offense
2017-18,Baylor,0,54,12,2251,7,nan,Defensive
2013-14,Baylor,13,53,13,2379,7,nan,Offense
2013-14,Baylor,0,96,13,4214,14,nan,Defensive
2014-15,Baylor,13,47,13,2040,2,nan,Offense
2014-15,Baylor,0,82,13,3350,3,nan,Defensive
2015-16,Baylor,13,42,13,1684,nan,nan,Offense
2015-16,Baylor,0,83,13,3257,2,nan,Defensive
2016-17,Baylor,13,57,13,2359,4,nan,Offense
2016-17,Baylor,0,81,13,3224,8,nan,Defensive
2017-18,Baylor,12,60,12,2522,1,nan,Offense
2017-18,Baylor,0,54,12,2251,7,nan,Defensive
2013-14,Baylor,13,53,13,2379,7,nan,Offense
2013-14,Baylor,0,96,13,4214,14,nan,Defensive
2014-15,Baylor,13,47,13,2040,2,nan,Offense
2014-15,Baylor,0,82,13,3350,3,nan,Defensive
2015-16,Baylor,13,42,13,1684,nan,nan,Offense
2015-16,Baylor,0,83,13,3257,2,nan,Defensive
2016-17,Baylor,13,57,13,2359,4,nan,Offense
2016-17,Baylor,0,81,13,3224,8,nan,Defensive
2017-18,Baylor,12,60,12,2522,1,nan,Offense
2017-18,Baylor,0,54,12,2251,7,nan,Defensive
2013-14,Ball St.,13,46,13,1872,2,nan,Offense
2013-14,Ball St.,0,60,13,2410,3,nan,Defensive
2014-15,Ball St.,12,65,12,2708,5,nan,Offense
2014-15,Ball St.,0,57,12,2316,3,nan,Defensive
2015-16,Ball St.,12,66,12,2616,nan,nan,Offense
2015-16,Ball St.,0,47,12,1907,3,nan,Defensive
2016-17,Ball St.,12,61,12,2498,4,nan,Offense
2016-17,Ball St.,0,61,12,2311,3,nan,Defensive
2017-18,Ball St.,12,75,12,2603,3,nan,Offense
2017-18,Ball St.,0,51,12,2064,4,nan,Defensive
2013-14,Ball St.,13,46,13,1872,2,nan,Offense
2013-14,Ball St.,0,60,13,2410,3,nan,Defensive
2014-15,Ball St.,12,65,12,2708,5,nan,Offense
2014-15,Ball St.,0,57,12,2316,3,nan,Defensive
2015-16,Ball St.,12,66,12,2616,nan,nan,Offense
2015-16,Ball St.,0,47,12,1907,3,nan,Defensive
2016-17,Ball St.,12,61,12,2498,4,nan,Offense
2016-17,Ball St.,0,61,12,2311,3,nan,Defensive
2017-18,Ball St.,12,75,12,2603,3,nan,Offense
2017-18,Ball St.,0,51,12,2064,4,nan,Defensive
2013-14,BYU,13,85,13,3376,11,nan,Offense
