Jersey,Player,Pos,Yr,GP,GS,Year,Team
94,"Oehrle, Drew",K,Jr,13,0,2014-15,Air Force Falcons
84,"Onwuzu, Nelson",WR,Jr,0,0,2014-15,Air Force Falcons
48,"Onyechi, Jacob",LB,So,12,1,2014-15,Air Force Falcons
28,"Owens, Jocobi",RB,So,10,10,2014-15,Air Force Falcons
2,"Pearson, Kale",QB,Sr,12,12,2014-15,Air Force Falcons
51,"Pierce, Jordan",LB,Sr,13,12,2014-15,Air Force Falcons
36,"Proctor, Spencer",LB,Sr,13,13,2014-15,Air Force Falcons
74,"Remmo, Sevrin",OL,Jr,3,3,2014-15,Air Force Falcons
16,"Roberts, Karson",QB,Jr,3,0,2014-15,Air Force Falcons
9,"Robinette, Jalen",WR,So,13,11,2014-15,Air Force Falcons
72,"Rochell, Matt",OL,Jr,13,13,2014-15,Air Force Falcons
6A,"Romine, Nate",QB,So,5,1,2014-15,Air Force Falcons
44,"Ross, Grant",nan,nan,6,0,2014-15,Air Force Falcons
58,"Ruechel, A.J.",OL,Jr,13,13,2014-15,Air Force Falcons
5R,"Rushing, Devin",RB,Jr,13,3,2014-15,Air Force Falcons
56,"Sandor, Colin",OL,So,11,6,2014-15,Air Force Falcons
45,"Self, Josh",TE,So,0,0,2014-15,Air Force Falcons
22,"Solano, Paco",RB,Sr,10,0,2014-15,Air Force Falcons
62,"Sparling, Malachi",OL,Sr,0,0,2014-15,Air Force Falcons
21,"Spears, Christian",DB,Sr,13,13,2014-15,Air Force Falcons
8,"Steelhammer, Weston",DB,So,13,11,2014-15,Air Force Falcons
57,"Sutton, Michael",OL,Fr,1,0,2014-15,Air Force Falcons
91,"Timmerman, Troy",DL,Sr,13,13,2014-15,Air Force Falcons
70,"Uzo-Okereke, Ar",OL,Jr,3,0,2014-15,Air Force Falcons
67,"Vail, Dylan",OL,So,2,0,2014-15,Air Force Falcons
5,"Walker, Dexter",DB,Jr,12,12,2014-15,Air Force Falcons
40,"Watson, Ryan",DL,So,12,0,2014-15,Air Force Falcons
5A,"Wermuth, Eric",DB,Jr,0,0,2014-15,Air Force Falcons
39,"Wharton, Donnie",LB,Sr,7,0,2014-15,Air Force Falcons
2W,"Williams, Tyler",QB,Fr,2,0,2014-15,Air Force Falcons
61,"Wilson, Jackson",OL,So,1,0,2014-15,Air Force Falcons
89,"Zuberer, Grayson",TE,So,1,0,2014-15,Air Force Falcons
2,"Alexander, Broderick",RB,Sr,10,0,2013-14,Akron  Zips
21,"Alexander, Bill",DB,Sr,10,0,2013-14,Akron  Zips
49,"Allen, Christian",RB,Fr,0,0,2013-14,Akron  Zips
46,"Allen, Jeff",DL,Jr,1,0,2013-14,Akron  Zips
40,"Bailey, Austin",DL,Sr,12,0,2013-14,Akron  Zips
3B,"Berger, Brady",WR,Fr,1,0,2013-14,Akron  Zips
1B,"Bice, Nick",WR,Jr,1,0,2013-14,Akron  Zips
24,"Bickley, Fransohn",WR,Fr,12,7,2013-14,Akron  Zips
85,"Bohan, Andrew",OL,So,11,0,2013-14,Akron  Zips
74,"Brittnum, Cedric",OL,Jr,1,0,2013-14,Akron  Zips
53,"Brown, Jatavis",LB,So,12,12,2013-14,Akron  Zips
75,"Brumbaugh, Dylan",OL,So,12,12,2013-14,Akron  Zips
1A,"Capi, Nordly",DL,Sr,12,5,2013-14,Akron  Zips
58,"Caponi, Nico",DL,Sr,10,7,2013-14,Akron  Zips
62,"Carroll, Rodney",OL,Fr,0,0,2013-14,Akron  Zips
70,"Casimos, Michael",OL,Fr,0,0,2013-14,Akron  Zips
8A,"Chambers, L.J.",WR,Jr,0,0,2013-14,Akron  Zips
29,"Cheek, Bryce",DB,So,11,2,2013-14,Akron  Zips
7,"Chisholm, Jawon",RB,Jr,12,12,2013-14,Akron  Zips
95,"Copeland, Darius",DL,Fr,0,0,2013-14,Akron  Zips
11,"D'Orazio, Zach",WR,So,12,10,2013-14,Akron  Zips
12,"Davis, Imani",WR,So,12,1,2013-14,Akron  Zips
79,"Davis, Mike",DL,So,1,0,2013-14,Akron  Zips
5A,"Demhasaj, Zenel",OL,Sr,12,12,2013-14,Akron  Zips
88,"Dillard, Jerrod",WR,Sr,12,12,2013-14,Akron  Zips
32,"Durant, Martel",DB,Jr,11,0,2013-14,Akron  Zips
18,"Easton, Dalton",QB,Fr,3,0,2013-14,Akron  Zips
17,"Edwards, Wade",WR,Fr,0,0,2013-14,Akron  Zips
57,"Ericksen, Stephen",OL,Fr,1,0,2013-14,Akron  Zips
54,"Evans, Dylan",LB,So,12,4,2013-14,Akron  Zips
23,"Ford, Bre'",DB,Jr,12,4,2013-14,Akron  Zips
20,"Freeman, Malachi",DB,Sr,12,12,2013-14,Akron  Zips
83,"Frieson, Dee",WR,Sr,5,3,2013-14,Akron  Zips
43,"Gingerich, Zach",K,Fr,0,0,2013-14,Akron  Zips
81,"Goodman, Tyrell",WR,So,10,4,2013-14,Akron  Zips
9A,"Gotto, Anthony",QB,Fr,0,0,2013-14,Akron  Zips
33,"Graves, Sean",DB,Sr,11,0,2013-14,Akron  Zips
30,"Green, Bryan",RB,Fr,1,0,2013-14,Akron  Zips
36,"Grice, Cody",DL,So,12,12,2013-14,Akron  Zips
41,"Guiser, Zach",DB,Fr,0,0,2013-14,Akron  Zips
64,"Hauser, Andrew",LB,Fr,0,0,2013-14,Akron  Zips
27,"Hayes, Mikee",DB,Fr,0,0,2013-14,Akron  Zips
15,"Hirschman, Nick",QB,Jr,3,0,2013-14,Akron  Zips
8,"Hollis, Keontae",DL,Jr,11,1,2013-14,Akron  Zips
7A,"Holmes, Anthony",DB,Sr,12,11,2013-14,Akron  Zips
96,"Horner, Alfonso",DL,So,11,4,2013-14,Akron  Zips
34,"Hundley, Conor",RB,So,12,0,2013-14,Akron  Zips
9,"James, C.J.",DL,Sr,8,8,2013-14,Akron  Zips
25,"Jones, Denzel",RB,Fr,11,0,2013-14,Akron  Zips
42,"Kish, Michael",TE,Fr,0,0,2013-14,Akron  Zips
69,"Kortokrax, Ryan",OL,Fr,0,0,2013-14,Akron  Zips
31,"Lartey, Emmanuel",DB,Sr,11,7,2013-14,Akron  Zips
10,"Lawrence, Hakeem",RB,So,1,0,2013-14,Akron  Zips
73,"Lee, Brett",OL,So,0,0,2013-14,Akron  Zips
84,"Lewis, Jerome",TE,Jr,12,1,2013-14,Akron  Zips
78,"Lio, Micah",OL,Jr,6,0,2013-14,Akron  Zips
5,"March, Justin",LB,Jr,12,12,2013-14,Akron  Zips
92,"Martin, Daryan",DL,Fr,0,0,2013-14,Akron  Zips
90,"McCray, Moses",DL,Sr,12,3,2013-14,Akron  Zips
97,"McLellan, Joel",P,Jr,0,0,2013-14,Akron  Zips
50,"McNamara, Joe",OL,Jr,12,5,2013-14,Akron  Zips
65,"Mills, Kevin",OL,Fr,0,0,2013-14,Akron  Zips
51,"Mizell, C.J.",LB,Jr,8,3,2013-14,Akron  Zips
26,"Morgan, Devonte",DB,Jr,11,0,2013-14,Akron  Zips
28,"Morgan, Manny",RB,Fr,0,0,2013-14,Akron  Zips
3A,"Morrow, Cory",DB,Fr,9,0,2013-14,Akron  Zips
99,"Okafor, Nmesoma",DL,Jr,3,0,2013-14,Akron  Zips
5B,"Orelus, Henry",OL,Sr,10,6,2013-14,Akron  Zips
71,"Osborne, Quaison",OL,So,3,0,2013-14,Akron  Zips
38,"Paul, Zach",P,So,12,0,2013-14,Akron  Zips
72,"Petrides, Joe",OL,Sr,6,0,2013-14,Akron  Zips
19,"Phillips, Drew",WR,Jr,3,0,2013-14,Akron  Zips
16,"Pohl, Kyle",QB,So,12,12,2013-14,Akron  Zips
80,"Pratt, Andrew",WR,So,10,0,2013-14,Akron  Zips
91,"Presley, Albert",DL,Sr,12,6,2013-14,Akron  Zips
76,"Pughsley, Jarrod",OL,Sr,12,12,2013-14,Akron  Zips
59,"Rachal, John",LB,Fr,3,0,2013-14,Akron  Zips
87,"Ritossa, Anthony",TE,Jr,9,1,2013-14,Akron  Zips
4,"Robinson, Johnny",DB,Jr,11,9,2013-14,Akron  Zips
86,"Root, Jon",TE,Sr,9,1,2013-14,Akron  Zips
44,"Rossi, Nick",LB,Jr,12,6,2013-14,Akron  Zips
35,"Sconiers, Keith",WR,Sr,1,0,2013-14,Akron  Zips
6,"Scott, Deandre",DB,Fr,5,0,2013-14,Akron  Zips
3C,"Seafler, Danny",WR,So,1,0,2013-14,Akron  Zips
93,"Seeman, Connor",DL,Sr,11,0,2013-14,Akron  Zips
37,"Senter, John",DB,So,12,0,2013-14,Akron  Zips
52,"Shelby, Jon",LB,Jr,10,0,2013-14,Akron  Zips
98,"Skolmutch, Paul",DL,Sr,12,0,2013-14,Akron  Zips
47,"Smith, Josh",WR,Fr,0,0,2013-14,Akron  Zips
3,"Smith, L.T.",WR,Jr,12,7,2013-14,Akron  Zips
48,"Stein, Robert",K,So,12,0,2013-14,Akron  Zips
67,"Switzer, Travis",OL,Jr,12,12,2013-14,Akron  Zips
1,"Traylor-Bennett, Mykel",WR,Fr,12,0,2013-14,Akron  Zips
39,"Turner, James",DB,So,8,0,2013-14,Akron  Zips
55,"Turner, Jamel",LB,So,9,0,2013-14,Akron  Zips
4A,"Weber, Joe",OL,Fr,0,0,2013-14,Akron  Zips
22,"Williams, Tyler",WR,Jr,12,1,2013-14,Akron  Zips
56,"Williams, Isaiah",OL,Jr,1,0,2013-14,Akron  Zips
14,"Williams, Donte",DB,Jr,7,3,2013-14,Akron  Zips
82,"Wolf, Austin",WR,Fr,0,0,2013-14,Akron  Zips
13,"Woodson, Thomas",QB,Fr,0,0,2013-14,Akron  Zips
47,"Alexander, Claude",LB,Sr,13,7,2016-17,Air Force Falcons
84,"Amy, Garrett",WR,So,0,0,2016-17,Air Force Falcons
49,"Bagnall, Brody",LB,So,1,0,2016-17,Air Force Falcons
15,"Baldwin, Brett",DB,So,12,0,2016-17,Air Force Falcons
66,"Barnhorst, Jake",OL,Jr,12,7,2016-17,Air Force Falcons
65,"Bess, Neal",OL,Jr,3,0,2016-17,Air Force Falcons
64,"Beveridge, Ryan",OL,Jr,7,0,2016-17,Air Force Falcons
4B,"Brand, Ryan",QB,So,0,0,2016-17,Air Force Falcons
13,"Bronkar, Cody",WR,Jr,11,0,2016-17,Air Force Falcons
91,"Brosy, Steve",K,Sr,13,0,2016-17,Air Force Falcons
16,"Bullard, Robert",DB,So,12,0,2016-17,Air Force Falcons
93,"Byers, Samuel",DL,Sr,13,13,2016-17,Air Force Falcons
90,"Capra, Mitch",DL,So,0,0,2016-17,Air Force Falcons
73,"Caunitz, Allen",OL,Sr,9,5,2016-17,Air Force Falcons
8B,"Clay, Jordan",TE,Jr,0,0,2016-17,Air Force Falcons
4,"Cleveland, Ronald",WR,So,13,3,2016-17,Air Force Falcons
38,"Cleveland, Kellen",DL,Sr,7,1,2016-17,Air Force Falcons
3F,"Connors, Ross",DL,So,5,0,2016-17,Air Force Falcons
97,"Coppola, Santo",DL,Jr,13,2,2016-17,Air Force Falcons
59,"Cutting, Austin",OL,So,12,0,2016-17,Air Force Falcons
42,"Dailey, Blake",LB,So,8,0,2016-17,Air Force Falcons
57,"Darby, Ryan",OL,So,0,0,2016-17,Air Force Falcons
81,"Daughtery, Andrew",WR,Sr,6,0,2016-17,Air Force Falcons
43,"Davern, Shayne",RB,Sr,12,6,2016-17,Air Force Falcons
8A,"Davis, Pate",QB,Sr,3,0,2016-17,Air Force Falcons
54,"Deeks, Lochlin",DL,Sr,13,13,2016-17,Air Force Falcons
9B,"Devries, Mike",DL,So,0,0,2016-17,Air Force Falcons
22,"Driskell, Bryan",RB,Sr,13,0,2016-17,Air Force Falcons
34,"Dunn, Haji",LB,Sr,13,13,2016-17,Air Force Falcons
31,"Duty-Tyson, Aubrey",DL,Jr,3,0,2016-17,Air Force Falcons
51,"Evans, Matt",LB,Jr,0,0,2016-17,Air Force Falcons
50,"Flor, Jack",LB,Jr,8,3,2016-17,Air Force Falcons
29,"Floyd, Kyle",DB,Fr,9,0,2016-17,Air Force Falcons
23,"Galland, Matt",WR,Sr,0,0,2016-17,Air Force Falcons
46,"Gardea, Omar",LB,Jr,2,0,2016-17,Air Force Falcons
9G,"Gessler, Cody",DL,So,0,0,2016-17,Air Force Falcons
76,"Gikas, Andrew",OL,Sr,1,0,2016-17,Air Force Falcons
3B,"Gleason, John",DB,Jr,0,0,2016-17,Air Force Falcons
63,"Greene, Justin",OL,Jr,3,0,2016-17,Air Force Falcons
2,"Griffin, Marquis",DB,Jr,8,2,2016-17,Air Force Falcons
39,"Hardrick, Jarrod",LB,Jr,5,0,2016-17,Air Force Falcons
53,"Harris, David",DL,Sr,8,0,2016-17,Air Force Falcons
83,"Harris, Ben",DL,So,1,0,2016-17,Air Force Falcons
41,"Healy, Patrick",LB,Sr,12,6,2016-17,Air Force Falcons
18,"Hicks, Brodie",DB,Sr,13,12,2016-17,Air Force Falcons
19,"Hill, Brayden",DB,Sr,11,0,2016-17,Air Force Falcons
9A,"Hill, Seth",WR,So,1,0,2016-17,Air Force Falcons
45,"Jackson, R.J.",LB,So,11,0,2016-17,Air Force Falcons
89,"Jacques, Matt",TE,So,0,0,2016-17,Air Force Falcons
68,"Jarvis III, George",OL,So,3,0,2016-17,Air Force Falcons
3,"Johnson, D.J.",RB,Sr,12,5,2016-17,Air Force Falcons
75,"Kofskey, Alexander",DL,Jr,0,0,2016-17,Air Force Falcons
4B,"Kuku, Jalil",nan,nan,0,0,2016-17,Air Force Falcons
39,"LaCoste, Jake",RB,Jr,2,0,2016-17,Air Force Falcons
99,"Lacy, Jalen",DL,Sr,12,0,2016-17,Air Force Falcons
25,"Ladipo, Roland",DB,Sr,10,9,2016-17,Air Force Falcons
74,"Landram, Griffin",OL,So,0,0,2016-17,Air Force Falcons
14,"Linn, Hayes",DB,Sr,11,8,2016-17,Air Force Falcons
17,"Matkovich, Jacob",WR,So,10,0,2016-17,Air Force Falcons
7A,"McAdams, Drew",LB,So,0,0,2016-17,Air Force Falcons
60,"McQuade, Ernest",OL,Jr,2,0,2016-17,Air Force Falcons
33,"McVey, Tim",RB,Jr,13,7,2016-17,Air Force Falcons
26,"Miller, Malik",RB,So,1,0,2016-17,Air Force Falcons
94,"Miller, Stone",DL,So,0,0,2016-17,Air Force Falcons
96,"Moorhead, Cody",DL,Jr,9,0,2016-17,Air Force Falcons
95,"Moskowitz, Cecil",P,Jr,0,0,2016-17,Air Force Falcons
55,"Norton, Alexander",OL,Jr,13,13,2016-17,Air Force Falcons
48,"Onyechi, Jacob",LB,Sr,10,10,2016-17,Air Force Falcons
28,"Owens, Jocobi",RB,Sr,13,10,2016-17,Air Force Falcons
58,"Patterson, Will",DL,So,1,0,2016-17,Air Force Falcons
9P,"Philichi, Matthew",K,So,1,0,2016-17,Air Force Falcons
72,"Rapp, Tyler",OL,So,2,0,2016-17,Air Force Falcons
77,"Rast, JC",OL,Jr,13,13,2016-17,Air Force Falcons
85,"Reffitt, Ryan",TE,Jr,13,13,2016-17,Air Force Falcons
86,"Riazzi, C.J.",TE,Jr,1,0,2016-17,Air Force Falcons
9,"Robinette, Jalen",WR,Sr,13,13,2016-17,Air Force Falcons
6,"Romine, Nate",QB,Sr,9,8,2016-17,Air Force Falcons
44,"Ross, Grant",LB,Jr,11,10,2016-17,Air Force Falcons
7,"Sanders, Je'Mel",LB,Jr,6,0,2016-17,Air Force Falcons
56,"Sandor, Colin",OL,Sr,11,10,2016-17,Air Force Falcons
82,"Self, Josh",TE,Sr,11,0,2016-17,Air Force Falcons
78,"Slater, R.J.",OL,Jr,1,0,2016-17,Air Force Falcons
10,"Smith, Andrew",WR,So,3,0,2016-17,Air Force Falcons
30,"Stafford, Jacob",RB,Jr,2,0,2016-17,Air Force Falcons
8,"Steelhammer, Weston",DB,Sr,13,12,2016-17,Air Force Falcons
11,"Strebel, Luke",K,Jr,13,0,2016-17,Air Force Falcons
5,"Sutton, Dailen",DL,So,10,0,2016-17,Air Force Falcons
98,"Thomas, Brayden",K,So,1,0,2016-17,Air Force Falcons
62,"Tyler, Jordan",OL,Jr,6,0,2016-17,Air Force Falcons
67,"Vail, Dylan",OL,Sr,13,13,2016-17,Air Force Falcons
6A,"Vereen, Shaquille",DB,Jr,12,3,2016-17,Air Force Falcons
32,"VonZurmuehlen, Bryce",DB,So,0,0,2016-17,Air Force Falcons
21,"Washington, Jesse",DB,Sr,13,9,2016-17,Air Force Falcons
24,"Washington, Benton",RB,Jr,11,0,2016-17,Air Force Falcons
5B,"Watford, Kyle",nan,nan,0,0,2016-17,Air Force Falcons
40,"Watson, Ryan",LB,Sr,11,10,2016-17,Air Force Falcons
27,"Weaver, Tyler",DB,Sr,11,0,2016-17,Air Force Falcons
12,"Williams, Tyler",WR,Jr,13,8,2016-17,Air Force Falcons
61,"Wilson, Jackson",OL,Sr,13,3,2016-17,Air Force Falcons
36,"Wilson, Parker",RB,So,10,0,2016-17,Air Force Falcons
52,"Woodward, Kyle",OL,So,1,0,2016-17,Air Force Falcons
2A,"Worthman, Arion",QB,So,8,4,2016-17,Air Force Falcons
43,"Allen, Christian",RB,Sr,10,1,2016-17,Akron  Zips
31,"Baggett, Jamal",DB,So,5,0,2016-17,Akron  Zips
34,"Ball, Warren",RB,Sr,2,2,2016-17,Akron  Zips
4H,"Barakat, Youssef",LB,Fr,2,0,2016-17,Akron  Zips
1D,"Bell, Brian",LB,So,12,10,2016-17,Akron  Zips
3F,"Bischof, Nathan",DB,So,12,0,2016-17,Akron  Zips
71,"Blaha, Matt",OL,Jr,0,0,2016-17,Akron  Zips
50,"Boxen, Brock",DL,So,6,6,2016-17,Akron  Zips
12,"Brown, Kyron",DB,So,12,1,2016-17,Akron  Zips
59,"Brown, Trevor",nan,nan,5,1,2016-17,Akron  Zips
88,"Buddenberg, Michael",OL,Jr,12,0,2016-17,Akron  Zips
5H,"Bullard, Undrea",OL,So,2,0,2016-17,Akron  Zips
2D,"Butler, Michael",DB,Sr,0,0,2016-17,Akron  Zips
84,"Cagle, Avery",TE,Fr,2,0,2016-17,Akron  Zips
91,"Camara, Ibrahima",DL,Jr,10,5,2016-17,Akron  Zips
70,"Casimos, Michael",OL,Sr,0,0,2016-17,Akron  Zips
5,"Chapman, Tra'Von",QB,Jr,9,3,2016-17,Akron  Zips
11,"Coney, A.J.",DB,Jr,12,3,2016-17,Akron  Zips
8,"Copeland, Darius",DL,Jr,12,12,2016-17,Akron  Zips
6G,"Council, Brandon",OL,Fr,1,0,2016-17,Akron  Zips
1,"Davis, Alvin",DB,Fr,12,7,2016-17,Akron  Zips
80,"Dixon, Bryce",WR,Fr,0,0,2016-17,Akron  Zips
6F,"Dixon, Jaquavis",DB,Fr,0,0,2016-17,Akron  Zips
23,"Edwards, Van",RB,So,11,7,2016-17,Akron  Zips
8F,"Ellis, Mark",nan,nan,0,0,2016-17,Akron  Zips
57,"Ericksen, Stephen",OL,Jr,12,12,2016-17,Akron  Zips
63,"Fazio, Nick",OL,So,0,0,2016-17,Akron  Zips
20,"Featherstone, Shawn",DB,So,12,2,2016-17,Akron  Zips
47,"Fitschen, Jerry",K,Fr,1,0,2016-17,Akron  Zips
49,"Fonseca, James",K,So,2,0,2016-17,Akron  Zips
41,"Foster, Kyle",P,So,11,0,2016-17,Akron  Zips
60,"Gasser, Nick",K,So,12,0,2016-17,Akron  Zips
2F,"Gauthney, Lavonne",OL,Jr,2,2,2016-17,Akron  Zips
33,"Gauthney, Lavonne",TE,Jr,9,8,2016-17,Akron  Zips
24,"George, Jordan",DB,So,6,5,2016-17,Akron  Zips
5D,"Gilbert, Ulysees",LB,So,12,12,2016-17,Akron  Zips
18,"Gilchrist, Tyler",DB,Fr,0,0,2016-17,Akron  Zips
39,"Gingerich, Zach",P,Jr,4,0,2016-17,Akron  Zips
8D,"Gladney, Kevin",WR,Jr,7,0,2016-17,Akron  Zips
3D,"Glover, Demarkus",LB,Fr,0,0,2016-17,Akron  Zips
2G,"Goodman, Tyrell",WR,Sr,11,1,2016-17,Akron  Zips
6H,"Grover, Hayden",OL,So,0,0,2016-17,Akron  Zips
32,"Guiser, Zach",DB,Jr,9,8,2016-17,Akron  Zips
99,"Hamilton, Jelani",DL,Sr,9,0,2016-17,Akron  Zips
42,"Hauser, Andrew",LB,Jr,8,6,2016-17,Akron  Zips
22,"Hayes, Mikee",DB,Jr,2,0,2016-17,Akron  Zips
2,"Hope, Larry",DB,Sr,11,10,2016-17,Akron  Zips
5F,"Hoyer, Matthew",QB,Sr,0,0,2016-17,Akron  Zips
65,"Jean-Baptiste, Andy",DL,Fr,0,0,2016-17,Akron  Zips
4D,"Jest, Davon'Te",DL,Fr,9,0,2016-17,Akron  Zips
25,"Jones, Denzel",RB,Sr,12,0,2016-17,Akron  Zips
17,"Jones, Bryce",DB,Sr,12,4,2016-17,Akron  Zips
55,"Jones, Tony",LB,Jr,0,0,2016-17,Akron  Zips
51,"Jones, Devon",DB,Fr,0,0,2016-17,Akron  Zips
79,"Jordan, Montel",OL,Fr,0,0,2016-17,Akron  Zips
5G,"Junius, Travonte",LB,So,8,0,2016-17,Akron  Zips
45,"Junk, Brandon",TE,Fr,10,1,2016-17,Akron  Zips
76,"Kallay, Rich",OL,Fr,0,0,2016-17,Akron  Zips
83,"Kish, Michael",TE,Jr,10,0,2016-17,Akron  Zips
69,"Kortokrax, Ryan",OL,Jr,1,0,2016-17,Akron  Zips
40,"Lako, John",LB,Fr,12,3,2016-17,Akron  Zips
7,"Lane, Jerome",WR,Jr,12,12,2016-17,Akron  Zips
9D,"Lauro, Anthony",WR,So,9,0,2016-17,Akron  Zips
6D,"Lawrence, Hakeem",RB,Sr,0,0,2016-17,Akron  Zips
75,"Letuli, Jovann",OL,Jr,11,11,2016-17,Akron  Zips
16,"Lloyd, Demarcus",LB,Jr,11,0,2016-17,Akron  Zips
29,"Lockett, Vince",DB,nan,11,0,2016-17,Akron  Zips
69,"Lortokrax, Ryan",nan,nan,4,0,2016-17,Akron  Zips
4G,"Marcus, Jamal",DL,Sr,8,4,2016-17,Akron  Zips
77,"McCoy, Cedric",OL,Jr,8,0,2016-17,Akron  Zips
21,"Means, Michael",WR,Sr,1,0,2016-17,Akron  Zips
81,"Mitchell, Brandon",WR,So,0,0,2016-17,Akron  Zips
38,"Mohammed, Ibrahim",WR,Sr,0,0,2016-17,Akron  Zips
56,"Moore, Deon'Tae",DL,Jr,10,3,2016-17,Akron  Zips
28,"Morgan, Manny",RB,Jr,11,3,2016-17,Akron  Zips
15,"Morrow, Cory",DB,Sr,12,0,2016-17,Akron  Zips
9,"Natson, Jojo",WR,Sr,12,11,2016-17,Akron  Zips
73,"Neeley, Jonathan",OL,Fr,0,0,2016-17,Akron  Zips
1Q,"Nelson, Kato",QB,Fr,0,0,2016-17,Akron  Zips
37,"O'Leary, Tom",K,So,12,0,2016-17,Akron  Zips
90,"Pittman, Se'Von",DL,Sr,11,10,2016-17,Akron  Zips
74,"Quigley, Xavier",OL,Jr,12,1,2016-17,Akron  Zips
1F,"Rachal, John",LB,Sr,12,3,2016-17,Akron  Zips
36,"Rainey-Nix, Isaiah",WR,So,0,0,2016-17,Akron  Zips
94,"Reinke, Brian",DL,So,11,0,2016-17,Akron  Zips
66,"Ritz, Kyle",OL,So,12,12,2016-17,Akron  Zips
78,"Sample, Austin",OL,Fr,0,0,2016-17,Akron  Zips
6,"Scott, Deandre",DB,Sr,11,10,2016-17,Akron  Zips
44,"Semerene, Jon",K,Jr,0,0,2016-17,Akron  Zips
68,"Siegman, Andrew",OL,Fr,0,0,2016-17,Akron  Zips
3,"Smith, Kwadarrius",WR,So,10,1,2016-17,Akron  Zips
13,"Spruill, Christopher",DL,Sr,10,0,2016-17,Akron  Zips
46,"Sweat, Zachary",DB,Sr,5,0,2016-17,Akron  Zips
10,"Traylor-Bennett, Mykel",WR,Jr,9,2,2016-17,Akron  Zips
72,"Tuley-Tillman, Logan",OL,Jr,12,12,2016-17,Akron  Zips
30,"Turfe, Chuck",RB,Fr,1,0,2016-17,Akron  Zips
14,"Turner, James",DB,Sr,9,2,2016-17,Akron  Zips
67,"Vazquez, Tito",OL,Fr,0,0,2016-17,Akron  Zips
19,"Venckus, Daumantas",DL,Sr,12,7,2016-17,Akron  Zips
52,"Ward, Josh",LB,Fr,12,1,2016-17,Akron  Zips
97,"Williams, Brennan",DL,So,10,1,2016-17,Akron  Zips
48,"Williams, Darian",WR,Sr,1,0,2016-17,Akron  Zips
35,"Williams, Newman",TE,So,8,5,2016-17,Akron  Zips
82,"Wolf, Austin",WR,Jr,12,12,2016-17,Akron  Zips
4,"Woodson, Thomas",QB,Jr,8,8,2016-17,Akron  Zips
7D,"Young, Anthony",DB,Jr,2,0,2016-17,Akron  Zips
2D,"Alexander, Donnell",RB,Jr,0,0,2014-15,Akron  Zips
46,"Allen, Jeff",RB,Sr,12,0,2014-15,Akron  Zips
49,"Allen, Christian",RB,So,10,0,2014-15,Akron  Zips
31,"Baggett, Jamal",DB,Fr,0,0,2014-15,Akron  Zips
33,"Bice, Nick",WR,Jr,8,0,2014-15,Akron  Zips
4,"Bickley, Fransohn",WR,So,11,2,2014-15,Akron  Zips
43,"Bischof, Nathan",DB,Fr,0,0,2014-15,Akron  Zips
77,"Bohan, Andrew",OL,Jr,12,0,2014-15,Akron  Zips
50,"Boxen, Brock",DL,Fr,3,0,2014-15,Akron  Zips
72,"Boyett, Scott",OL,Jr,1,0,2014-15,Akron  Zips
74,"Brittnum, Cedric",OL,Sr,12,8,2014-15,Akron  Zips
20,"Brown, Kyron",DB,Fr,0,0,2014-15,Akron  Zips
1,"Brown, Jatavis",LB,Jr,12,12,2014-15,Akron  Zips
55,"Brown, Tommy",OL,Jr,11,10,2014-15,Akron  Zips
75,"Brumbaugh, Dylan",OL,Jr,9,7,2014-15,Akron  Zips
88,"Buddenberg, Michael",OL,Fr,12,0,2014-15,Akron  Zips
97,"Bullard, Undrea",DL,Fr,0,0,2014-15,Akron  Zips
1C,"Capi, Nordly",DL,Sr,12,8,2014-15,Akron  Zips
62,"Carroll, Rodney",OL,So,0,0,2014-15,Akron  Zips
70,"Casimos, Michael",OL,So,10,0,2014-15,Akron  Zips
1E,"Charles, Wedley",DB,So,1,0,2014-15,Akron  Zips
29,"Cheek, Bryce",DB,Jr,12,3,2014-15,Akron  Zips
7,"Chisholm, Jawon",RB,Sr,11,6,2014-15,Akron  Zips
94,"Clark, Anthony",DL,Fr,0,0,2014-15,Akron  Zips
91,"Coe, Rodney",DL,Jr,0,0,2014-15,Akron  Zips
2C,"Coney, A.J.",DB,Fr,0,0,2014-15,Akron  Zips
95,"Copeland, Darius",DL,So,9,0,2014-15,Akron  Zips
11,"D'Orazio, Zach",WR,Jr,12,11,2014-15,Akron  Zips
1D,"Davis, Imani",WR,Jr,11,2,2014-15,Akron  Zips
79,"Davis, Mike",DL,Jr,1,0,2014-15,Akron  Zips
1B,"Dorvilus, Richard",DL,Jr,8,1,2014-15,Akron  Zips
32,"Durant, Martel",DB,Sr,12,2,2014-15,Akron  Zips
1H,"Edwards, Wade",WR,So,2,0,2014-15,Akron  Zips
57,"Ericksen, Stephen",OL,Fr,1,0,2014-15,Akron  Zips
54,"Evans, Dylan",LB,Jr,12,2,2014-15,Akron  Zips
23,"Ford, Bre'",DB,Sr,12,7,2014-15,Akron  Zips
64,"Foster, Kyle",P,Fr,1,0,2014-15,Akron  Zips
63,"Garrett, Varnell",DL,Sr,1,0,2014-15,Akron  Zips
93,"Gauthney, Lavonne",DL,Fr,0,0,2014-15,Akron  Zips
24,"George, Jordan",DB,Fr,0,0,2014-15,Akron  Zips
21,"Givens, Kris",DB,Jr,12,10,2014-15,Akron  Zips
