Date,Opponent,Result,G,TDs,KickPAT,PATAtt,RushPAT,Ru2PTAtt,ReceivingPAT,Pass2PtConv,Pass2PTAtt,KickReturnPAT,FumbRetPAT,FG,Safeties,Points,Team,OffenseDefense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,3,3,3,nan,nan,nan,,nan,nan,nan,4,nan,33,Alabama Crimson Tide,Offense
08/30/2014,"West Virginia @ Atlanta, Georgia",W 33 - 23,1/,2,2,2,nan,nan,nan,,nan,nan,nan,3,nan,23,Alabama Crimson Tide,Defense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,5,5,5,nan,nan,nan,,nan,nan,nan,2,nan,41,Alabama Crimson Tide,Offense
09/06/2014,Fla. Atlantic,W 41 - 0,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,Alabama Crimson Tide,Defense
09/13/2014,Southern Miss.,W 52 - 12,1/,7,7,7,nan,nan,nan,,nan,nan,nan,1,nan,52,Alabama Crimson Tide,Offense
09/13/2014,Southern Miss.,W 52 - 12,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,4,nan,12,Alabama Crimson Tide,Defense
09/20/2014,Florida,W 42 - 21,1/,6,6,6,nan,nan,nan,,nan,nan,nan,nan,nan,42,Alabama Crimson Tide,Offense
09/20/2014,Florida,W 42 - 21,1/,3,3,3,nan,nan,nan,,nan,nan,nan,nan,nan,21,Alabama Crimson Tide,Defense
10/04/2014,@ Ole Miss,L 17 - 23,1/,2,2,2,nan,nan,nan,,nan,nan,nan,1,nan,17,Alabama Crimson Tide,Offense
10/04/2014,@ Ole Miss,L 17 - 23,1/,3,2,3,nan,nan,nan,,nan,nan,nan,1,nan,23,Alabama Crimson Tide,Defense
10/11/2014,@ Arkansas,W 14 - 13,1/,2,2,2,nan,nan,nan,,nan,nan,nan,nan,nan,14,Alabama Crimson Tide,Offense
10/11/2014,@ Arkansas,W 14 - 13,1/,2,1,2,nan,nan,nan,,nan,nan,nan,nan,nan,13,Alabama Crimson Tide,Defense
10/18/2014,Texas A&M,W 59 - 0,1/,8,8,8,nan,nan,nan,,nan,nan,nan,1,nan,59,Alabama Crimson Tide,Offense
10/18/2014,Texas A&M,W 59 - 0,1/,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,nan,nan,Alabama Crimson Tide,Defense
10/25/2014,@ Tennessee,W 34 - 20,1/,5,4,5,nan,nan,nan,,nan,nan,nan,nan,nan,34,Alabama Crimson Tide,Offense
10/25/2014,@ Tennessee,W 34 - 20,1/,2,2,2,nan,nan,nan,,nan,nan,nan,2,nan,20,Alabama Crimson Tide,Defense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,2,2,2,nan,nan,nan,,nan,nan,nan,2,nan,20,Alabama Crimson Tide,Offense
11/08/2014,@ LSU,W 20 - 13 (1OT),1/,1,1,1,nan,nan,nan,,nan,nan,nan,2,nan,13,Alabama Crimson Tide,Defense
11/15/2014,Mississippi St.,W 25 - 20,1/,3,2,2,nan,nan,nan,,1/,nan,nan,1,1/,25,Alabama Crimson Tide,Offense
11/15/2014,Mississippi St.,W 25 - 20,1/,2,2,2,nan,nan,nan,,nan,nan,nan,2,nan,20,Alabama Crimson Tide,Defense
11/22/2014,Western Caro.,W 48 - 14,1/,6,6,6,nan,nan,nan,,nan,nan,nan,2,nan,48,Alabama Crimson Tide,Offense
