Year,Team,GP,G,RushNetYards,ReceivingYards,IntRYds,PuntRetYds,FRetYds,KORetYds,APY,All-PurposeYardsG,OffenseDefense
2013-14,Arizona,0,13,2182,3032,119,50,2,801,6186,nan,Defensive
2014-15,Arizona,14,14,2546,3945,138,174,80,817,7700,nan,Offense
2014-15,Arizona,0,14,2377,3937,99,268,20,758,7499,nan,Defensive
2015-16,Arizona,13,13,2890,3544,98,144,22,729,7453,nan,Offense
2015-16,Arizona,0,13,2581,3488,162,79,42,1106,7458,nan,Defensive
2016-17,Arizona,12,12,2820,2137,32,56,nan,494,5539,nan,Offense
2016-17,Arizona,0,12,2330,3302,100,241,83,671,6727,nan,Defensive
2017-18,Arizona,12,12,3893,2041,320,198,9,648,7109,nan,Offense
2017-18,Arizona,0,12,2247,3323,83,205,-6,598,6450,nan,Defensive
2013-14,Arizona,13,13,3444,2516,303,166,42,676,7147,nan,Offense
2013-14,Arizona,0,13,2182,3032,119,50,2,801,6186,nan,Defensive
2014-15,Arizona,14,14,2546,3945,138,174,80,817,7700,nan,Offense
2014-15,Arizona,0,14,2377,3937,99,268,20,758,7499,nan,Defensive
2015-16,Arizona,13,13,2890,3544,98,144,22,729,7453,nan,Offense
2015-16,Arizona,0,13,2581,3488,162,79,42,1106,7458,nan,Defensive
2016-17,Arizona,12,12,2820,2137,32,56,nan,494,5539,nan,Offense
2016-17,Arizona,0,12,2330,3302,100,241,83,671,6727,nan,Defensive
2017-18,Arizona,12,12,3893,2041,320,198,9,648,7109,nan,Offense
2017-18,Arizona,0,12,2247,3323,83,205,-6,598,6450,nan,Defensive
2013-14,Arizona,13,13,3444,2516,303,166,42,676,7147,nan,Offense
2013-14,Arizona,0,13,2182,3032,119,50,2,801,6186,nan,Defensive
2014-15,Arizona,14,14,2546,3945,138,174,80,817,7700,nan,Offense
2014-15,Arizona,0,14,2377,3937,99,268,20,758,7499,nan,Defensive
2015-16,Arizona,13,13,2890,3544,98,144,22,729,7453,nan,Offense
2015-16,Arizona,0,13,2581,3488,162,79,42,1106,7458,nan,Defensive
2016-17,Arizona,12,12,2820,2137,32,56,nan,494,5539,nan,Offense
2016-17,Arizona,0,12,2330,3302,100,241,83,671,6727,nan,Defensive
2017-18,Arizona,12,12,3893,2041,320,198,9,648,7109,nan,Offense
2017-18,Arizona,0,12,2247,3323,83,205,-6,598,6450,nan,Defensive
2013-14,Arizona St.,14,14,2679,3723,345,206,nan,970,7927,nan,Offense
2013-14,Arizona St.,0,14,1927,3286,107,191,11,1365,6887,nan,Defensive
2014-15,Arizona St.,13,13,2194,3556,276,55,133,555,6769,nan,Offense
2014-15,Arizona St.,0,13,2046,3376,243,196,25,1280,7166,nan,Defensive
2015-16,Arizona St.,13,13,2319,3888,189,189,19,1237,7841,nan,Offense
2015-16,Arizona St.,0,13,1641,4388,57,267,103,483,6939,nan,Defensive
2016-17,Arizona St.,12,12,1578,3111,203,236,87,1213,6428,nan,Offense
2016-17,Arizona St.,0,12,1957,4289,133,65,nan,493,6937,nan,Defensive
2017-18,Arizona St.,12,12,2159,2972,95,115,5,619,5965,nan,Offense
2017-18,Arizona St.,0,12,2108,3256,63,162,nan,472,6061,nan,Defensive
2013-14,Arizona St.,14,14,2679,3723,345,206,nan,970,7927,nan,Offense
2013-14,Arizona St.,0,14,1927,3286,107,191,11,1365,6887,nan,Defensive
2014-15,Arizona St.,13,13,2194,3556,276,55,133,555,6769,nan,Offense
2014-15,Arizona St.,0,13,2046,3376,243,196,25,1280,7166,nan,Defensive
2015-16,Arizona St.,13,13,2319,3888,189,189,19,1237,7841,nan,Offense
2015-16,Arizona St.,0,13,1641,4388,57,267,103,483,6939,nan,Defensive
2016-17,Arizona St.,12,12,1578,3111,203,236,87,1213,6428,nan,Offense
2016-17,Arizona St.,0,12,1957,4289,133,65,nan,493,6937,nan,Defensive
2017-18,Arizona St.,12,12,2159,2972,95,115,5,619,5965,nan,Offense
2017-18,Arizona St.,0,12,2108,3256,63,162,nan,472,6061,nan,Defensive
2013-14,Boise St.,13,13,2578,3610,134,361,5,1137,7885,nan,Offense
