Year,Team,GP,G,PBU,Int,IntRetTDs,IntRYds,PDef,OffenseDefense
2016-17,Boise St.,0,13,24,8,2,201,32.00,Defensive
2017-18,Boise St.,13,13,51,13,nan,174,64.00,Offense
2017-18,Boise St.,0,13,30,5,2,110,35.00,Defensive
2013-14,Boise St.,13,13,47,16,1,134,63,Offense
2013-14,Boise St.,0,13,47,11,2,135,58,Defensive
2014-15,Boise St.,14,14,55,22,5,284,77,Offense
2014-15,Boise St.,0,14,34,15,2,189,49,Defensive
2015-16,Boise St.,13,13,51,22,2,211,73,Offense
2015-16,Boise St.,0,13,50,12,2,254,62,Defensive
2016-17,Boise St.,13,13,53,7,1,114,60,Offense
2016-17,Boise St.,0,13,24,8,2,201,32,Defensive
2017-18,Boise St.,13,13,51,13,nan,174,64,Offense
2017-18,Boise St.,0,13,30,5,2,110,35,Defensive
2013-14,Baylor,13,13,63,19,5,441,82,Offense
2013-14,Baylor,0,13,45,6,1,120,51,Defensive
2014-15,Baylor,13,13,48,13,nan,203,61,Offense
2014-15,Baylor,0,13,44,8,1,67,52,Defensive
2015-16,Baylor,13,13,43,14,nan,137,57,Offense
2015-16,Baylor,0,13,43,13,nan,187,56,Defensive
2016-17,Baylor,13,13,50,12,2,310,62,Offense
2016-17,Baylor,0,13,63,15,1,220,78,Defensive
2017-18,Baylor,12,12,40,3,nan,20,43,Offense
2017-18,Baylor,0,12,48,14,3,172,62,Defensive
2013-14,Baylor,13,13,63,19,5,441,82.00,Offense
2013-14,Baylor,0,13,45,6,1,120,51.00,Defensive
2014-15,Baylor,13,13,48,13,nan,203,61.00,Offense
2014-15,Baylor,0,13,44,8,1,67,52.00,Defensive
2015-16,Baylor,13,13,43,14,nan,137,57.00,Offense
2015-16,Baylor,0,13,43,13,nan,187,56.00,Defensive
2016-17,Baylor,13,13,50,12,2,310,62.00,Offense
2016-17,Baylor,0,13,63,15,1,220,78.00,Defensive
2017-18,Baylor,12,12,40,3,nan,20,43.00,Offense
2017-18,Baylor,0,12,48,14,3,172,62.00,Defensive
2013-14,Baylor,13,13,63,19,5,441,82.00,Offense
2013-14,Baylor,0,13,45,6,1,120,51.00,Defensive
2014-15,Baylor,13,13,48,13,nan,203,61.00,Offense
2014-15,Baylor,0,13,44,8,1,67,52.00,Defensive
2015-16,Baylor,13,13,43,14,nan,137,57.00,Offense
2015-16,Baylor,0,13,43,13,nan,187,56.00,Defensive
2016-17,Baylor,13,13,50,12,2,310,62.00,Offense
2016-17,Baylor,0,13,63,15,1,220,78.00,Defensive
2017-18,Baylor,12,12,40,3,nan,20,43.00,Offense
2017-18,Baylor,0,12,48,14,3,172,62.00,Defensive
2013-14,Ball St.,13,13,38,13,nan,130,51,Offense
2013-14,Ball St.,0,13,61,8,1,121,69,Defensive
2014-15,Ball St.,12,12,33,10,nan,177,43,Offense
2014-15,Ball St.,0,12,53,7,1,31,60,Defensive
2015-16,Ball St.,12,12,38,7,nan,3,45,Offense
2015-16,Ball St.,0,12,70,9,1,136,79,Defensive
2016-17,Ball St.,12,12,46,7,nan,42,53,Offense
2016-17,Ball St.,0,12,56,15,3,178,71,Defensive
2017-18,Ball St.,12,12,33,6,nan,13,39,Offense
2017-18,Ball St.,0,12,46,14,4,384,60,Defensive
2013-14,BYU,13,13,77,13,3,143,90.00,Offense
2013-14,BYU,0,13,54,14,1,139,68.00,Defensive
2014-15,BYU,13,13,70,14,2,249,84.00,Offense
2014-15,BYU,0,13,52,12,nan,61,64.00,Defensive
2015-16,BYU,13,13,41,15,2,231,56.00,Offense
2015-16,BYU,0,13,51,12,3,276,63.00,Defensive
2016-17,BYU,13,13,43,21,3,372,64.00,Offense
2016-17,BYU,0,13,39,12,2,195,51.00,Defensive
2017-18,BYU,13,13,41,8,1,224,49.00,Offense
2017-18,BYU,0,13,69,19,2,334,88.00,Defensive
2013-14,BYU,13,13,77,13,3,143,90.00,Offense
2013-14,BYU,0,13,54,14,1,139,68.00,Defensive
2014-15,BYU,13,13,70,14,2,249,84.00,Offense
2014-15,BYU,0,13,52,12,nan,61,64.00,Defensive
2015-16,BYU,13,13,41,15,2,231,56.00,Offense
2015-16,BYU,0,13,51,12,3,276,63.00,Defensive
2016-17,BYU,13,13,43,21,3,372,64.00,Offense
2016-17,BYU,0,13,39,12,2,195,51.00,Defensive
2017-18,BYU,13,13,41,8,1,224,49.00,Offense
2017-18,BYU,0,13,69,19,2,334,88.00,Defensive
2013-14,BYU,13,13,77,13,3,143,90,Offense
2013-14,BYU,0,13,54,14,1,139,68,Defensive
2014-15,BYU,13,13,70,14,2,249,84,Offense
2014-15,BYU,0,13,52,12,nan,61,64,Defensive
2015-16,BYU,13,13,41,15,2,231,56,Offense
2015-16,BYU,0,13,51,12,3,276,63,Defensive
2016-17,BYU,13,13,43,21,3,372,64,Offense
2016-17,BYU,0,13,39,12,2,195,51,Defensive
2017-18,BYU,13,13,41,8,1,224,49,Offense
2017-18,BYU,0,13,69,19,2,334,88,Defensive
2013-14,BYU,13,13,77,13,3,143,90,Offense
2013-14,BYU,0,13,54,14,1,139,68,Defensive
2014-15,BYU,13,13,70,14,2,249,84,Offense
2014-15,BYU,0,13,52,12,nan,61,64,Defensive
2015-16,BYU,13,13,41,15,2,231,56,Offense
2015-16,BYU,0,13,51,12,3,276,63,Defensive
2016-17,BYU,13,13,43,21,3,372,64,Offense
2016-17,BYU,0,13,39,12,2,195,51,Defensive
2017-18,BYU,13,13,41,8,1,224,49,Offense
2017-18,BYU,0,13,69,19,2,334,88,Defensive
2011-12,Auburn,1,1,4,2,nan,1,6.00,Offense
2011-12,Auburn,0,1,3,1,nan,22,4.00,Defensive
2013-14,Auburn,14,14,56,13,1,112,69.00,Offense
2013-14,Auburn,0,14,28,8,1,64,36.00,Defensive
2014-15,Auburn,13,13,47,22,1,130,69.00,Offense
2014-15,Auburn,0,13,46,7,nan,95,53.00,Defensive
2015-16,Auburn,13,13,53,14,1,144,67.00,Offense
2015-16,Auburn,0,13,38,12,1,131,50.00,Defensive
2016-17,Auburn,13,13,69,11,nan,83,80.00,Offense
2016-17,Auburn,0,13,33,6,1,50,39.00,Defensive
