Stat,Player,Value,Team,Year
Points,Younghoe Koo,85,Ga. Southern Eagles,2017
Punt Avg,Matt Flynn,466.3,Ga. Southern Eagles,2017
Punt Ret Yds,Montay Crockett,125,Ga. Southern Eagles,2017
Rec,BJ Johnson III,42,Ga. Southern Eagles,2017
ReceivingYards,BJ Johnson III,600,Ga. Southern Eagles,2017
Rush Net Yards,Kevin Ellison,678,Ga. Southern Eagles,2017
Sacks,Ukeme Eligwe,2.5,Ga. Southern Eagles,2017
Tackles,Ukeme Eligwe,104,Ga. Southern Eagles,2017
Tot Off,Kevin Ellison,1549,Ga. Southern Eagles,2017
APY,Nick Chubb,1216,Georgia  Bulldogs,2017
FGM,Rodrigo Blankenship,14,Georgia  Bulldogs,2017
Int,Dominick Sanders,3,Georgia  Bulldogs,2017
Pass Eff,Mashall Long,343.60,Georgia  Bulldogs,2017
Points,Rodrigo Blankenship,68,Georgia  Bulldogs,2017
Punt Avg,Mashall Long,352.7,Georgia  Bulldogs,2017
Punt Ret Yds,Isaiah McKenzie,245,Georgia  Bulldogs,2017
Rec,Isaiah McKenzie,44,Georgia  Bulldogs,2017
ReceivingYards,Isaiah McKenzie,633,Georgia  Bulldogs,2017
Rush Net Yards,Nick Chubb,1130,Georgia  Bulldogs,2017
Sacks,Lorenzo Carter,5.0,Georgia  Bulldogs,2017
Tackles,Roquan Smith,95,Georgia  Bulldogs,2017
Tot Off,Jacob Eason,2385,Georgia  Bulldogs,2017
APY,Glenn Smith,1084,Georgia St. Panthers,2017
FGM,Rogier ten Lohuis,8,Georgia St. Panthers,2017
Int,B.J. Clay,3,Georgia St. Panthers,2017
Pass Eff,Conner Manning,123.12,Georgia St. Panthers,2017
Points,Rogier ten Lohuis,49,Georgia St. Panthers,2017
Punt Avg,Brandon Wright,470.8,Georgia St. Panthers,2017
Punt Ret Yds,Cedric Stone,10,Georgia St. Panthers,2017
Rec,Robert Davis,67,Georgia St. Panthers,2017
ReceivingYards,Robert Davis,968,Georgia St. Panthers,2017
Rush Net Yards,Kyler Neal,314,Georgia St. Panthers,2017
Sacks,Michael Shaw,3.0,Georgia St. Panthers,2017
Tackles,Alonzo McGee,97,Georgia St. Panthers,2017
Tot Off,Conner Manning,2681,Georgia St. Panthers,2017
APY,Clinton Lynch,905,Georgia Tech Yellow Jackets,2017
FGM,Harrison Butker,15,Georgia Tech Yellow Jackets,2017
Int,Lawrence Austin,3,Georgia Tech Yellow Jackets,2017
Pass Eff,Taquon Marshall,175.60,Georgia Tech Yellow Jackets,2017
Points,Harrison Butker,91,Georgia Tech Yellow Jackets,2017
Punt Avg,Ryan Rodwell,520.5,Georgia Tech Yellow Jackets,2017
Punt Ret Yds,Brad Stewart,126,Georgia Tech Yellow Jackets,2017
Rec,Ricky Jeune,25,Georgia Tech Yellow Jackets,2017
ReceivingYards,Clinton Lynch,490,Georgia Tech Yellow Jackets,2017
Rush Net Yards,Dedrick Mills,771,Georgia Tech Yellow Jackets,2017
Sacks,Patrick Gamble,7.5,Georgia Tech Yellow Jackets,2017
Tackles,Corey Griffin,82,Georgia Tech Yellow Jackets,2017
Tot Off,Justin Thomas,2163,Georgia Tech Yellow Jackets,2017
APY,Paul Harris,1420,Hawaii  Rainbow Warriors,2017
FGM,Rigoberto Sanchez,13,Hawaii  Rainbow Warriors,2017
Int,Jalen Rogers,4,Hawaii  Rainbow Warriors,2017
Pass Eff,Makoa Camanse-Stevens,276.40,Hawaii  Rainbow Warriors,2017
Points,Rigoberto Sanchez,88,Hawaii  Rainbow Warriors,2017
Punt Avg,Rigoberto Sanchez,624.7,Hawaii  Rainbow Warriors,2017
Punt Ret Yds,John Ursua,63,Hawaii  Rainbow Warriors,2017
Rec,Marcus Kemp,73,Hawaii  Rainbow Warriors,2017
ReceivingYards,Marcus Kemp,1100,Hawaii  Rainbow Warriors,2017
Rush Net Yards,Diocemy Saint Juste,1006,Hawaii  Rainbow Warriors,2017
Sacks,Jahlani Tavai,7.0,Hawaii  Rainbow Warriors,2017
Tackles,Jahlani Tavai,129,Hawaii  Rainbow Warriors,2017
Tot Off,Dru Brown,2794,Hawaii  Rainbow Warriors,2017
APY,Linell Bonner,1124,Houston  Cougars,2017
FGM,Ty Cummings,16,Houston  Cougars,2017
Int,Howard Wilson,5,Houston  Cougars,2017
Pass Eff,Linell Bonner,425.00,Houston  Cougars,2017
Points,Ty Cummings,103,Houston  Cougars,2017
Punt Avg,Dane Roy,489.3,Houston  Cougars,2017
Punt Ret Yds,Collin Wilder,40,Houston  Cougars,2017
Rec,Linell Bonner,98,Houston  Cougars,2017
ReceivingYards,Linell Bonner,1118,Houston  Cougars,2017
Rush Net Yards,Duke Catalon,528,Houston  Cougars,2017
Sacks,Tyus Bowser,8.5,Houston  Cougars,2017
Tackles,Matthew Adams,82,Houston  Cougars,2017
Tot Off,Greg Ward Jr.,4075,Houston  Cougars,2017
APY,Isaiah Saunders,879,Idaho  Vandals,2017
FGM,Austin Rehkow,26,Idaho  Vandals,2017
Int,Jayshawn Jordan,6,Idaho  Vandals,2017
Pass Eff,Matt Linehan,136.66,Idaho  Vandals,2017
Points,Austin Rehkow,120,Idaho  Vandals,2017
Punt Avg,Austin Rehkow,502.7,Idaho  Vandals,2017
Punt Ret Yds,Alfonso Onunwor,71,Idaho  Vandals,2017
Rec,Trent Cowan,48,Idaho  Vandals,2017
ReceivingYards,Deon Watson,695,Idaho  Vandals,2017
Rush Net Yards,Isaiah Saunders,731,Idaho  Vandals,2017
Sacks,Aikeem Coleman,8.0,Idaho  Vandals,2017
Tackles,Tony Lashley,97,Idaho  Vandals,2017
Tot Off,Matt Linehan,3351,Idaho  Vandals,2017
APY,Kendrick Foster,1328,Illinois  Fighting Illini,2017
FGM,Chase McLaughlin,12,Illinois  Fighting Illini,2017
Int,Darius Mosely,2,Illinois  Fighting Illini,2017
Pass Eff,Chayce Crouch,125.67,Illinois  Fighting Illini,2017
Points,Chase McLaughlin,62,Illinois  Fighting Illini,2017
Punt Avg,Ryan Frain,407.5,Illinois  Fighting Illini,2017
Punt Ret Yds,Darius Mosely,102,Illinois  Fighting Illini,2017
Rec,Malik Turner,48,Illinois  Fighting Illini,2017
ReceivingYards,Malik Turner,712,Illinois  Fighting Illini,2017
Rush Net Yards,Kendrick Foster,720,Illinois  Fighting Illini,2017
Sacks,Carroll Phillips,9.0,Illinois  Fighting Illini,2017
Tackles,Hardy Nickerson,107,Illinois  Fighting Illini,2017
Tot Off,Wes Lunt,1311,Illinois  Fighting Illini,2017
APY,Devine Redding,1268,Indiana  Hoosiers,2017
FGM,Griffin Oakes,16,Indiana  Hoosiers,2017
Int,Rashard Fant,3,Indiana  Hoosiers,2017
Pass Eff,Mitchell Paige,236.00,Indiana  Hoosiers,2017
Points,Griffin Oakes,81,Indiana  Hoosiers,2017
Punt Avg,Joseph Gedeon,525.5,Indiana  Hoosiers,2017
Punt Ret Yds,Mitchell Paige,129,Indiana  Hoosiers,2017
Rec,Mitchell Paige,58,Indiana  Hoosiers,2017
ReceivingYards,Nick Westbrook,995,Indiana  Hoosiers,2017
Rush Net Yards,Devine Redding,1122,Indiana  Hoosiers,2017
Sacks,Tegray Scales,7.0,Indiana  Hoosiers,2017
Tackles,Tegray Scales,126,Indiana  Hoosiers,2017
Tot Off,Richard Lagow,3174,Indiana  Hoosiers,2017
APY,Akrum Wadley,1396,Iowa  Hawkeyes,2017
FGM,Keith Duncan,9,Iowa  Hawkeyes,2017
Int,Desmond King,3,Iowa  Hawkeyes,2017
Pass Eff,C.J. Beathard,122.30,Iowa  Hawkeyes,2017
Points,Akrum Wadley,78,Iowa  Hawkeyes,2017
Punt Avg,Ron Coluzzi,534.4,Iowa  Hawkeyes,2017
Punt Ret Yds,Desmond King,264,Iowa  Hawkeyes,2017
Rec,Riley McCarron,42,Iowa  Hawkeyes,2017
ReceivingYards,Riley McCarron,517,Iowa  Hawkeyes,2017
Rush Net Yards,Akrum Wadley,1081,Iowa  Hawkeyes,2017
Sacks,Jaleel Johnson,7.5,Iowa  Hawkeyes,2017
Tackles,Josey Jewell,124,Iowa  Hawkeyes,2017
Tot Off,C.J. Beathard,1916,Iowa  Hawkeyes,2017
APY,Kene Nwangwu,1045,Iowa St. Cyclones,2017
FGM,Cole Netten,16,Iowa St. Cyclones,2017
Int,Kamari Cotton-Moya,2,Iowa St. Cyclones,2017
Pass Eff,Deshaunte Jones,184.00,Iowa St. Cyclones,2017
Points,Cole Netten,83,Iowa St. Cyclones,2017
Punt Avg,Colin Downing,491.6,Iowa St. Cyclones,2017
Punt Ret Yds,Trever Ryen,198,Iowa St. Cyclones,2017
Rec,Allen Lazard,69,Iowa St. Cyclones,2017
ReceivingYards,Allen Lazard,1018,Iowa St. Cyclones,2017
Rush Net Yards,David Montgomery,563,Iowa St. Cyclones,2017
Sacks,Jaquan Bailey,3.5,Iowa St. Cyclones,2017
Tackles,Willie Harvey,78,Iowa St. Cyclones,2017
Tot Off,Jacob Park,1850,Iowa St. Cyclones,2017
APY,Laquvionte Gonzalez,1311,Kansas  Jayhawks,2017
FGM,Matthew Wyman,13,Kansas  Jayhawks,2017
Int,Fish Smithson,4,Kansas  Jayhawks,2017
Pass Eff,Steven Sims Jr.,436.00,Kansas  Jayhawks,2017
Points,Matthew Wyman,65,Kansas  Jayhawks,2017
Punt Avg,Cole Moos,497.2,Kansas  Jayhawks,2017
Punt Ret Yds,Laquvionte Gonzalez,-10,Kansas  Jayhawks,2017
Rec,Steven Sims Jr.,72,Kansas  Jayhawks,2017
ReceivingYards,Steven Sims Jr.,859,Kansas  Jayhawks,2017
Rush Net Yards,Ke'Aun Kinner,738,Kansas  Jayhawks,2017
Sacks,Dorance Armstrong Jr.,10.0,Kansas  Jayhawks,2017
Tackles,Fish Smithson,93,Kansas  Jayhawks,2017
Tot Off,Montell Cozart,1166,Kansas  Jayhawks,2017
APY,Byron Pringle,1364,Kansas St. Wildcats,2017
FGM,Matthew McCrane,11,Kansas St. Wildcats,2017
Int,D.J. Reed,3,Kansas St. Wildcats,2017
Pass Eff,Jesse Ertz,121.64,Kansas St. Wildcats,2017
Points,Jesse Ertz,72,Kansas St. Wildcats,2017
Punt Avg,Nick Walsh,556.9,Kansas St. Wildcats,2017
Punt Ret Yds,Dominique Heath,155,Kansas St. Wildcats,2017
Rec,Dominique Heath,45,Kansas St. Wildcats,2017
ReceivingYards,Byron Pringle,631,Kansas St. Wildcats,2017
Rush Net Yards,Jesse Ertz,1012,Kansas St. Wildcats,2017
Sacks,Jordan Willis,11.5,Kansas St. Wildcats,2017
Tackles,Elijah Lee,110,Kansas St. Wildcats,2017
Tot Off,Jesse Ertz,2767,Kansas St. Wildcats,2017
APY,Nick Holley,1120,Kent St. Golden Flashes,2017
FGM,Shayne Hynes,15,Kent St. Golden Flashes,2017
Int,Jamal Parker,3,Kent St. Golden Flashes,2017
Pass Eff,Mylik Mitchell,121.73,Kent St. Golden Flashes,2017
Points,Shayne Hynes,73,Kent St. Golden Flashes,2017
Punt Avg,Derek Adams,479.2,Kent St. Golden Flashes,2017
Punt Ret Yds,Zaquon Tyson,67,Kent St. Golden Flashes,2017
Rec,Justin Rankin,28,Kent St. Golden Flashes,2017
ReceivingYards,Justin Rankin,335,Kent St. Golden Flashes,2017
Rush Net Yards,Nick Holley,920,Kent St. Golden Flashes,2017
Sacks,Terence Waugh,8.0,Kent St. Golden Flashes,2017
Tackles,Nate Holley,111,Kent St. Golden Flashes,2017
Tot Off,Nick Holley,1788,Kent St. Golden Flashes,2017
APY,Benny Snell,1268,Kentucky  Wildcats,2017
FGM,Austin MacGinnis,16,Kentucky  Wildcats,2017
Int,Blake McClain,3,Kentucky  Wildcats,2017
Pass Eff,Jojo Kemp,217.60,Kentucky  Wildcats,2017
Points,Austin MacGinnis,92,Kentucky  Wildcats,2017
Punt Avg,Grant McKinniss,503.8,Kentucky  Wildcats,2017
Punt Ret Yds,Charles Walker,117,Kentucky  Wildcats,2017
Rec,Garrett Johnson,39,Kentucky  Wildcats,2017
ReceivingYards,Jeff Badet,670,Kentucky  Wildcats,2017
Rush Net Yards,Stanley Williams,1170,Kentucky  Wildcats,2017
Sacks,Josh Allen,7.0,Kentucky  Wildcats,2017
Tackles,Jordan Jones,109,Kentucky  Wildcats,2017
Tot Off,Stephen Johnson,2364,Kentucky  Wildcats,2017
APY,Derrius Guice,1716,LSU Fighting Tigers,2017
FGM,Colby Delahoussaye,11,LSU Fighting Tigers,2017
Int,Tre'Davious White,2,LSU Fighting Tigers,2017
Pass Eff,Justin McMillan,259.60,LSU Fighting Tigers,2017
Points,Derrius Guice,96,LSU Fighting Tigers,2017
Punt Avg,Josh Growden,507.6,LSU Fighting Tigers,2017
Punt Ret Yds,Tre'Davious White,186,LSU Fighting Tigers,2017
Rec,Malachi Dupre,41,LSU Fighting Tigers,2017
ReceivingYards,Malachi Dupre,593,LSU Fighting Tigers,2017
Rush Net Yards,Derrius Guice,1387,LSU Fighting Tigers,2017
Sacks,Arden Key,12.0,LSU Fighting Tigers,2017
Tackles,Duke Riley,93,LSU Fighting Tigers,2017
Tot Off,Danny Etling,2169,LSU Fighting Tigers,2017
APY,Marcus Green,855,La.-Monroe Warhawks,2017
FGM,Craig Ford,9,La.-Monroe Warhawks,2017
Int,Terry Ausborne Jr.,2,La.-Monroe Warhawks,2017
Pass Eff,Garrett Smith,124.36,La.-Monroe Warhawks,2017
Points,Craig Ford,62,La.-Monroe Warhawks,2017
Punt Avg,Dayton Balvanz,472.6,La.-Monroe Warhawks,2017
Punt Ret Yds,Marcus Green,94,La.-Monroe Warhawks,2017
Rec,Marcus Green,36,La.-Monroe Warhawks,2017
ReceivingYards,RJ Turner,433,La.-Monroe Warhawks,2017
Rush Net Yards,Ben Luckett,450,La.-Monroe Warhawks,2017
Sacks,David Griffith,3.0,La.-Monroe Warhawks,2017
Tackles,David Griffith,78,La.-Monroe Warhawks,2017
Tot Off,Garrett Smith,1545,La.-Monroe Warhawks,2017
APY,Elijah McGuire,1396,Louisiana Ragin' Cajuns,2017
FGM,Stevie Artigue,19,Louisiana Ragin' Cajuns,2017
Int,Tracy Walker,3,Louisiana Ragin' Cajuns,2017
Pass Eff,Al Riles,416.60,Louisiana Ragin' Cajuns,2017
Points,Stevie Artigue,86,Louisiana Ragin' Cajuns,2017
Punt Avg,Steven Coutts,556.5,Louisiana Ragin' Cajuns,2017
Punt Ret Yds,Levarious Varnado,47,Louisiana Ragin' Cajuns,2017
Rec,Al Riles,60,Louisiana Ragin' Cajuns,2017
ReceivingYards,Al Riles,729,Louisiana Ragin' Cajuns,2017
Rush Net Yards,Elijah McGuire,1127,Louisiana Ragin' Cajuns,2017
Sacks,Joe Dillon,7.0,Louisiana Ragin' Cajuns,2017
Tackles,Tre'Maine Lightfoot,101,Louisiana Ragin' Cajuns,2017
Tot Off,Anthony Jennings,2519,Louisiana Ragin' Cajuns,2017
APY,Carlos Henderson,2473,Louisiana Tech Bulldogs,2017
FGM,Jonathan Barnes,22,Louisiana Tech Bulldogs,2017
Int,Xavier Woods,5,Louisiana Tech Bulldogs,2017
Pass Eff,Price Wilson,196.80,Louisiana Tech Bulldogs,2017
Points,Jonathan Barnes,143,Louisiana Tech Bulldogs,2017
Punt Avg,Gerald Shouse,567.7,Louisiana Tech Bulldogs,2017
Punt Ret Yds,Trent Taylor,178,Louisiana Tech Bulldogs,2017
Rec,Trent Taylor,136,Louisiana Tech Bulldogs,2017
ReceivingYards,Trent Taylor,1803,Louisiana Tech Bulldogs,2017
Rush Net Yards,Jarred Craft,1074,Louisiana Tech Bulldogs,2017
Sacks,Jaylon Ferguson,14.5,Louisiana Tech Bulldogs,2017
Tackles,Jordan Harris,94,Louisiana Tech Bulldogs,2017
Tot Off,Ryan Higgins,4894,Louisiana Tech Bulldogs,2017
APY,Lamar Jackson,1571,Louisville  Cardinals,2017
FGM,Blanton Creque,16,Louisville  Cardinals,2017
Int,Jaire Alexander,5,Louisville  Cardinals,2017
Pass Eff,Kyle Bolin,156.50,Louisville  Cardinals,2017
Points,Lamar Jackson,126,Louisville  Cardinals,2017
Punt Avg,Mason King,552.3,Louisville  Cardinals,2017
Punt Ret Yds,Jaire Alexander,210,Louisville  Cardinals,2017
Rec,Cole Hikutini,50,Louisville  Cardinals,2017
ReceivingYards,James Quick,769,Louisville  Cardinals,2017
Rush Net Yards,Lamar Jackson,1571,Louisville  Cardinals,2017
Sacks,James Hearns,8.0,Louisville  Cardinals,2017
Tackles,Keith Kelsey,93,Louisville  Cardinals,2017
Tot Off,Lamar Jackson,5114,Louisville  Cardinals,2017
APY,Keion Davis,1128,Marshall  Thundering Herd,2017
FGM,Amoreto Curraj,4,Marshall  Thundering Herd,2017
Int,Corey Neely,2,Marshall  Thundering Herd,2017
Pass Eff,Chase Litton,137.90,Marshall  Thundering Herd,2017
Points,Amoreto Curraj,51,Marshall  Thundering Herd,2017
Punt Avg,Kaare Vedvik,484.7,Marshall  Thundering Herd,2017
Punt Ret Yds,Hyleck Foster,136,Marshall  Thundering Herd,2017
Rec,Josh Knight,62,Marshall  Thundering Herd,2017
ReceivingYards,Michael Clark,632,Marshall  Thundering Herd,2017
Rush Net Yards,Keion Davis,469,Marshall  Thundering Herd,2017
Sacks,Gary Thompson,5.0,Marshall  Thundering Herd,2017
Tackles,Corey Neely,79,Marshall  Thundering Herd,2017
Tot Off,Chase Litton,2479,Marshall  Thundering Herd,2017
APY,Ty Johnson,1249,"Maryland  Terrapins, Terps",2017
FGM,Adam Greene,9,"Maryland  Terrapins, Terps",2017
Int,Alvin Hill,2,"Maryland  Terrapins, Terps",2017
Pass Eff,Wade Lees,142.00,"Maryland  Terrapins, Terps",2017
Points,Adam Greene,64,"Maryland  Terrapins, Terps",2017
Punt Avg,Wade Lees,513.6,"Maryland  Terrapins, Terps",2017
Punt Ret Yds,Teldrick Morgan,161,"Maryland  Terrapins, Terps",2017
Rec,Teldrick Morgan,43,"Maryland  Terrapins, Terps",2017
ReceivingYards,D.J. Moore,637,"Maryland  Terrapins, Terps",2017
Rush Net Yards,Ty Johnson,1004,"Maryland  Terrapins, Terps",2017
Sacks,Jesse Aniebonam,9.0,"Maryland  Terrapins, Terps",2017
Tackles,Jermaine Carter,110,"Maryland  Terrapins, Terps",2017
Tot Off,Perry Hills,1557,"Maryland  Terrapins, Terps",2017
APY,Marquis Young,1045,Massachusetts  Minutemen,2017
FGM,Logan Laurent,7,Massachusetts  Minutemen,2017
Int,Isaiah Rodgers,2,Massachusetts  Minutemen,2017
Pass Eff,Andrew Ford,137.99,Massachusetts  Minutemen,2017
Points,Adam Breneman,48,Massachusetts  Minutemen,2017
Punt Avg,Logan Laurent,495.0,Massachusetts  Minutemen,2017
Punt Ret Yds,James Allen,102,Massachusetts  Minutemen,2017
Rec,Adam Breneman,70,Massachusetts  Minutemen,2017
ReceivingYards,Adam Breneman,808,Massachusetts  Minutemen,2017
Rush Net Yards,Marquis Young,898,Massachusetts  Minutemen,2017
Sacks,Da'Sean Downey,6.0,Massachusetts  Minutemen,2017
Tackles,Steve Casali,105,Massachusetts  Minutemen,2017
Tot Off,Andrew Ford,2569,Massachusetts  Minutemen,2017
APY,Anthony Miller,1600,Memphis  Tigers,2017
FGM,Jake Elliott,21,Memphis  Tigers,2017
Int,Arthur Maulet,2,Memphis  Tigers,2017
Pass Eff,Phil Mayhue,251.20,Memphis  Tigers,2017
Points,Jake Elliott,121,Memphis  Tigers,2017
Punt Avg,Spencer Smith,583.1,Memphis  Tigers,2017
Punt Ret Yds,Anthony Miller,97,Memphis  Tigers,2017
Rec,Anthony Miller,95,Memphis  Tigers,2017
ReceivingYards,Anthony Miller,1434,Memphis  Tigers,2017
Rush Net Yards,Doroland Dorceus,810,Memphis  Tigers,2017
Sacks,Genard Avery,5.0,Memphis  Tigers,2017
Tackles,Jonathan Cook,88,Memphis  Tigers,2017
Tot Off,Riley Ferguson,3628,Memphis  Tigers,2017
APY,Mark Walton,1357,Miami (FL) Hurricanes,2017
FGM,Michael Badgley,21,Miami (FL) Hurricanes,2017
Int,Rayshawn Jenkins,2,Miami (FL) Hurricanes,2017
Pass Eff,Brad Kaaya,150.31,Miami (FL) Hurricanes,2017
Points,Michael Badgley,116,Miami (FL) Hurricanes,2017
Punt Avg,Justin Vogel,564.2,Miami (FL) Hurricanes,2017
Punt Ret Yds,Braxton Berrios,215,Miami (FL) Hurricanes,2017
Rec,Stacy Coley,63,Miami (FL) Hurricanes,2017
ReceivingYards,Ahmmon Richards,934,Miami (FL) Hurricanes,2017
Rush Net Yards,Mark Walton,1117,Miami (FL) Hurricanes,2017
Sacks,Joe Jackson,8.5,Miami (FL) Hurricanes,2017
Tackles,Jamal Carter Sr.,85,Miami (FL) Hurricanes,2017
Tot Off,Brad Kaaya,3396,Miami (FL) Hurricanes,2017
APY,Maurice Thomas,919,Miami (OH) RedHawks,2017
FGM,Nick Dowd,10,Miami (OH) RedHawks,2017
Int,Heath Harding,4,Miami (OH) RedHawks,2017
Pass Eff,Gus Ragland,166.60,Miami (OH) RedHawks,2017
Points,Nick Dowd,60,Miami (OH) RedHawks,2017
Punt Avg,Kyle Kramer,289.6,Miami (OH) RedHawks,2017
Punt Ret Yds,Jared Murphy,18,Miami (OH) RedHawks,2017
Rec,James Gardner,45,Miami (OH) RedHawks,2017
ReceivingYards,James Gardner,750,Miami (OH) RedHawks,2017
Rush Net Yards,Alonzo Smith,709,Miami (OH) RedHawks,2017
Sacks,JT Jones,6.5,Miami (OH) RedHawks,2017
Tackles,Tony Reid,98,Miami (OH) RedHawks,2017
Tot Off,Gus Ragland,1739,Miami (OH) RedHawks,2017
APY,De'Veon Smith,912,Michigan  Wolverines,2017
FGM,Kenny Allen,19,Michigan  Wolverines,2017
Int,Channing Stribling,4,Michigan  Wolverines,2017
Pass Eff,Shane Morris,155.60,Michigan  Wolverines,2017
Points,Kenny Allen,110,Michigan  Wolverines,2017
Punt Avg,Kenny Allen,467.7,Michigan  Wolverines,2017
Punt Ret Yds,Jabrill Peppers,310,Michigan  Wolverines,2017
Rec,Amara Darboh,57,Michigan  Wolverines,2017
ReceivingYards,Amara Darboh,862,Michigan  Wolverines,2017
Rush Net Yards,De'Veon Smith,846,Michigan  Wolverines,2017
Sacks,Taco Charlton,9.5,Michigan  Wolverines,2017
Tackles,Ben Gedeon,106,Michigan  Wolverines,2017
Tot Off,Wilton Speight,2478,Michigan  Wolverines,2017
APY,R.J. Shelton,1377,Michigan St. Spartans,2017
FGM,Michael Geiger,15,Michigan St. Spartans,2017
Int,Darian Hicks,2,Michigan St. Spartans,2017
Pass Eff,R.J. Shelton,265.20,Michigan St. Spartans,2017
Points,Michael Geiger,75,Michigan St. Spartans,2017
Punt Avg,Jake Hartbarger,502.2,Michigan St. Spartans,2017
Punt Ret Yds,Brandon Sowards,94,Michigan St. Spartans,2017
Rec,R.J. Shelton,53,Michigan St. Spartans,2017
ReceivingYards,R.J. Shelton,789,Michigan St. Spartans,2017
Rush Net Yards,LJ Scott,994,Michigan St. Spartans,2017
Sacks,Demetrius Cooper,2.5,Michigan St. Spartans,2017
Tackles,Chris Frey,96,Michigan St. Spartans,2017
Tot Off,Tyler O'Connor,2040,Michigan St. Spartans,2017
APY,I'Tavius Mathers,2194,Middle Tenn. Blue Raiders,2017
FGM,Canon Rooker,16,Middle Tenn. Blue Raiders,2017
Int,Jeremy Cutrer,3,Middle Tenn. Blue Raiders,2017
Pass Eff,I'Tavius Mathers,385.60,Middle Tenn. Blue Raiders,2017
Points,I'Tavius Mathers,120,Middle Tenn. Blue Raiders,2017
Punt Avg,Matt Bonadies,504.8,Middle Tenn. Blue Raiders,2017
Punt Ret Yds,Richie James,128,Middle Tenn. Blue Raiders,2017
Rec,Richie James,105,Middle Tenn. Blue Raiders,2017
ReceivingYards,Richie James,1625,Middle Tenn. Blue Raiders,2017
Rush Net Yards,I'Tavius Mathers,1561,Middle Tenn. Blue Raiders,2017
Sacks,Steven Rhodes,4.5,Middle Tenn. Blue Raiders,2017
Tackles,Chris Melton,102,Middle Tenn. Blue Raiders,2017
Tot Off,Brent Stockstill,3473,Middle Tenn. Blue Raiders,2017
APY,Rodney Smith,1609,Minnesota  Golden Gophers,2017
FGM,Emmit Carpenter,22,Minnesota  Golden Gophers,2017
Int,Damarius Travis,2,Minnesota  Golden Gophers,2017
Pass Eff,Conor Rhoda,116.83,Minnesota  Golden Gophers,2017
Points,Emmit Carpenter,109,Minnesota  Golden Gophers,2017
Punt Avg,Ryan Santoso,536.5,Minnesota  Golden Gophers,2017
Punt Ret Yds,Jalen Myrick,44,Minnesota  Golden Gophers,2017
Rec,Drew Wolitarsky,66,Minnesota  Golden Gophers,2017
ReceivingYards,Drew Wolitarsky,860,Minnesota  Golden Gophers,2017
Rush Net Yards,Rodney Smith,1158,Minnesota  Golden Gophers,2017
Sacks,Blake Cashman,7.5,Minnesota  Golden Gophers,2017
Tackles,Damarius Travis,83,Minnesota  Golden Gophers,2017
Tot Off,Mitch Leidner,2535,Minnesota  Golden Gophers,2017
APY,Nick Fitzgerald,1384,Mississippi St. Bulldogs,2017
FGM,Westin Graves,11,Mississippi St. Bulldogs,2017
Int,Jamoral Graham,3,Mississippi St. Bulldogs,2017
Pass Eff,Fred Ross,374.20,Mississippi St. Bulldogs,2017
Points,Nick Fitzgerald,96,Mississippi St. Bulldogs,2017
Punt Avg,Logan Cooke,407.0,Mississippi St. Bulldogs,2017
Punt Ret Yds,Fred Ross,85,Mississippi St. Bulldogs,2017
Rec,Fred Ross,72,Mississippi St. Bulldogs,2017
ReceivingYards,Fred Ross,917,Mississippi St. Bulldogs,2017
Rush Net Yards,Nick Fitzgerald,1375,Mississippi St. Bulldogs,2017
Sacks,Johnathan Calvin,7.0,Mississippi St. Bulldogs,2017
Tackles,Richie Brown,102,Mississippi St. Bulldogs,2017
Tot Off,Nick Fitzgerald,3798,Mississippi St. Bulldogs,2017
APY,Damarea Crockett,1182,Missouri  Tigers,2017
FGM,Tucker McCann,6,Missouri  Tigers,2017
Int,Aarion Penton,5,Missouri  Tigers,2017
