Year,Team,GP,G,FF,FRet,FRetTD,FRetYds,OffenseDefense
2016-17,Auburn,13,13,8,1,1,13,Offense
2016-17,Auburn,0,13,10,nan,nan,nan,Defensive
2017-18,Auburn,13,13,14,3,nan,58,Offense
2017-18,Auburn,0,13,14,2,1,31,Defensive
2011-12,Auburn,1,1,1,nan,nan,nan,Offense
2011-12,Auburn,0,1,2,nan,nan,nan,Defensive
2013-14,Auburn,14,14,11,1,1,11,Offense
2013-14,Auburn,0,14,15,3,1,35,Defensive
2014-15,Auburn,13,13,12,nan,nan,nan,Offense
2014-15,Auburn,0,13,13,nan,1,nan,Defensive
2015-16,Auburn,13,13,11,1,1,82,Offense
2015-16,Auburn,0,13,12,nan,nan,nan,Defensive
2016-17,Auburn,13,13,8,1,1,13,Offense
2016-17,Auburn,0,13,10,nan,nan,nan,Defensive
2017-18,Auburn,13,13,14,3,nan,58,Offense
2017-18,Auburn,0,13,14,2,1,31,Defensive
2013-14,Ball St.,13,13,14,3,1,19,Offense
2013-14,Ball St.,0,13,13,2,2,49,Defensive
2014-15,Ball St.,12,12,15,4,2,75,Offense
