Year,Team,GP,G,KO,KOYds,KOTB,KORet,KickRetTDs,KORetYds,OffenseDefense
2013-14,Ball St.,0,13,,3837,20,69,nan,1281,Defensive
2014-15,Ball St.,12,12,,4514,29,44,nan,1022,Offense
2014-15,Ball St.,0,12,,3727,18,41,1,946,Defensive
2015-16,Ball St.,12,12,,3402,14,50,1,1275,Offense
2015-16,Ball St.,0,12,,4740,26,39,nan,703,Defensive
2016-17,Ball St.,12,12,,3833,8,42,nan,878,Offense
2016-17,Ball St.,0,12,,3982,23,53,nan,1042,Defensive
2017-18,Ball St.,12,12,,2790,8,48,1,1042,Offense
2017-18,Ball St.,0,12,,5472,40,36,nan,718,Defensive
2013-14,BYU,13,13,80,5043,37,44,nan,1088,Offense
2013-14,BYU,0,13,64,3923,19,41,2,1028,Defensive
2014-15,BYU,13,13,87,5031,17,49,1,964,Offense
2014-15,BYU,0,13,72,4315,22,67,nan,1235,Defensive
2015-16,BYU,13,13,81,5069,34,34,nan,727,Offense
2015-16,BYU,0,13,60,3786,26,44,nan,921,Defensive
2016-17,BYU,13,13,75,4494,18,33,nan,700,Offense
2016-17,BYU,0,13,53,3273,19,50,nan,915,Defensive
2017-18,BYU,13,13,49,3043,15,38,nan,667,Offense
