team,link,txt,key,match
Nevada Wolf Pack,http://stats.ncaa.org/team/466/roster/11520,Roster,roster,True
Nevada Wolf Pack,http://stats.ncaa.org/team/466/stats/11520,Team Statistics,stats,True
New Mexico St. Aggies,http://stats.ncaa.org/teams/history/MFB/472,Team History,history,True
New Mexico St. Aggies,http://stats.ncaa.org/people/1061?sport_code=MFB,Doug Martin,people,True
New Mexico St. Aggies,http://stats.ncaa.org/team/472/roster/11520,Roster,roster,True
New Mexico St. Aggies,http://stats.ncaa.org/team/472/stats/11520,Team Statistics,stats,True
New Mexico Lobos,http://stats.ncaa.org/teams/history/MFB/473,Team History,history,True
New Mexico Lobos,http://stats.ncaa.org/people/304?sport_code=MFB,Bob Davie,people,True
New Mexico Lobos,http://stats.ncaa.org/team/473/roster/11520,Roster,roster,True
New Mexico Lobos,http://stats.ncaa.org/team/473/stats/11520,Team Statistics,stats,True
North Carolina Tar Heels,http://stats.ncaa.org/teams/history/MFB/457,Team History,history,True
North Carolina Tar Heels,http://stats.ncaa.org/people/33424?sport_code=MFB,Larry Fedora,people,True
North Carolina Tar Heels,http://stats.ncaa.org/team/457/roster/11520,Roster,roster,True
North Carolina Tar Heels,http://stats.ncaa.org/team/457/stats/11520,Team Statistics,stats,True
North Texas Mean Green,http://stats.ncaa.org/teams/history/MFB/497,Team History,history,True
North Texas Mean Green,http://stats.ncaa.org/people/750?sport_code=MFB,Dan McCarney,people,True
North Texas Mean Green,http://stats.ncaa.org/team/497/roster/11520,Roster,roster,True
North Texas Mean Green,http://stats.ncaa.org/team/497/stats/11520,Team Statistics,stats,True
Northwestern Wildcats,http://stats.ncaa.org/teams/history/MFB/509,Team History,history,True
Northwestern Wildcats,http://stats.ncaa.org/people/29792?sport_code=MFB,Pat Fitzgerald,people,True
Northwestern Wildcats,http://stats.ncaa.org/team/509/roster/11520,Roster,roster,True
Northwestern Wildcats,http://stats.ncaa.org/team/509/stats/11520,Team Statistics,stats,True
Notre Dame Fighting Irish,http://stats.ncaa.org/teams/history/MFB/513,Team History,history,True
Notre Dame Fighting Irish,http://stats.ncaa.org/people/434?sport_code=MFB,Brian Kelly,people,True
